feature_1,feature_2,correlation,abs_correlation
fast,motion_x_fast,0.9689286950985608,0.9689286950985608
temperature_x_audition,temperature_x_loud,0.9688133297248938,0.9688133297248938
color_x_pleasant,color_x_happy,0.9685136679463276,0.9685136679463276
fast_x_audition,fast_x_loud,0.9683823170362209,0.9683823170362209
vision_x_texture,shape_x_texture,0.9683718298545924,0.9683718298545924
shape_x_music,texture_x_music,0.9683421322613537,0.9683421322613537
vision_x_taste,taste_x_smell,0.9681814098230865,0.9681814098230865
texture_x_pleasant,texture_x_happy,0.9681790776125316,0.9681790776125316
face_x_harm,speech_x_harm,0.9679206248828672,0.9679206248828672
away_x_pleasant,away_x_happy,0.9679110159701765,0.9679110159701765
practice,practice_sq,0.9677467522229378,0.9677467522229378
pattern_x_taste,shape_x_taste,0.9677458155503694,0.9677458155503694
pattern_x_music,texture_x_music,0.9677258344178583,0.9677258344178583
speech_sq,biomotion_x_speech,0.967633320974871,0.967633320974871
audition_x_music,music_x_attention,0.9676232510879026,0.9676232510879026
audition_x_upperlimb,sound_x_upperlimb,0.9675655099918239,0.9675655099918239
biomotion_x_communication,body_x_communication,0.9674163765328488,0.9674163765328488
vision_x_small,small_x_shape,0.9673792147311272,0.9673792147311272
taste_sq,taste_x_head,0.9673671920634527,0.9673671920634527
taste,taste_x_smell,0.9673210221918145,0.9673210221918145
landmark,vision_x_landmark,0.9672662768622229,0.9672662768622229
path_x_pleasant,path_x_happy,0.966945690977125,0.966945690977125
biomotion_x_needs,body_x_needs,0.9668131325468929,0.9668131325468929
pain_x_attention,pain_x_arousal,0.966644923961656,0.966644923961656
lowerlimb_x_pleasant,lowerlimb_x_happy,0.966638838030172,0.966638838030172
attention,attention_sq,0.9663193437076774,0.9663193437076774
speech_sq,face_x_human,0.9662355154110324,0.9662355154110324
pattern_x_music,touch_x_music,0.9661869454287314,0.9661869454287314
face_x_sad,speech_x_sad,0.9661002536492368,0.9661002536492368
pattern_x_audition,pattern_x_sound,0.9660781610463809,0.9660781610463809
biomotion_x_face,face_x_speech,0.965919499695227,0.965919499695227
color_x_audition,color_x_sound,0.9659133331012699,0.9659133331012699
loud_sq,loud_x_attention,0.9657966691234868,0.9657966691234868
scene_x_pleasant,scene_x_happy,0.9657180609005993,0.9657180609005993
vision_x_speech,biomotion_x_speech,0.9657153968769944,0.9657153968769944
bright,vision_x_bright,0.9655715227745688,0.9655715227745688
consequential_x_disgusted,disgusted_x_arousal,0.9654147144057934,0.9654147144057934
weight_x_audition,weight_x_sound,0.9654101857947618,0.9654101857947618
loud_sq,loud_x_sound,0.9654065499383744,0.9654065499383744
head_x_pleasant,head_x_happy,0.9653395637532055,0.9653395637532055
weight_x_pleasant,weight_x_happy,0.9650811502133481,0.9650811502133481
vision_x_landmark,landmark_x_scene,0.964947709991953,0.964947709991953
small_x_pleasant,small_x_happy,0.9648658868315031,0.9648658868315031
audition_x_taste,loud_x_taste,0.9647825161959043,0.9647825161959043
color_x_audition,color_x_loud,0.9647635472798034,0.9647635472798034
taste,taste_x_practice,0.9647571568376039,0.9647571568376039
biomotion_x_social,body_x_social,0.9646733321028955,0.9646733321028955
taste_x_head,taste_x_practice,0.9646295175697455,0.9646295175697455
sad_x_attention,sad_x_arousal,0.9645520412707296,0.9645520412707296
vision_x_music,sound_x_music,0.9643932516614511,0.9643932516614511
bright_x_audition,bright_x_sound,0.9643004906151261,0.9643004906151261
low_x_attention,low_x_arousal,0.9642755628728862,0.9642755628728862
touch_x_pleasant,touch_x_happy,0.9642181012733726,0.9642181012733726
landmark,landmark_x_scene,0.964134869260543,0.964134869260543
shape_x_pleasant,shape_x_happy,0.9639814366353682,0.9639814366353682
shape_x_taste,weight_x_taste,0.9639801081474157,0.9639801081474157
dark_x_pleasant,dark_x_happy,0.9639697129173983,0.9639697129173983
face,vision_x_face,0.9639288295199618,0.9639288295199618
audition_x_taste,sound_x_taste,0.963926994033951,0.963926994033951
vision_x_speech,body_x_speech,0.9638833611863029,0.9638833611863029
face_x_high,high_x_human,0.9638761898757763,0.9638761898757763
vision_x_music,audition_x_music,0.9638631737142034,0.9638631737142034
scene,scene_sq,0.9638061511267574,0.9638061511267574
