feature,mean_abs_correlation,max_abs_correlation
unpleasant_x_attention,0.23346346415574282,0.9589573276522592
loud_x_away,0.20132379180056542,0.9588520553973708
loud,0.23544422082138805,0.9587721179177102
large_x_landmark,0.11809957968937582,0.9586200955034045
biomotion_x_cognition,0.18781717014493457,0.95861482129256
body_x_cognition,0.18041067520918,0.95861482129256
audition,0.22579673115502566,0.9586020355397953
benefit,0.1569101180318236,0.9584652285794886
benefit_sq,0.1414335653579618,0.9584652285794886
face_x_audition,0.1767099414635001,0.9583160791614321
audition_x_human,0.19701051329283228,0.9583160791614321
weight_x_loud,0.20960354385096128,0.958286540323357
texture_sq,0.21439197205934124,0.9581743181007245
vision_x_large,0.19576144953049177,0.9581040099817352
angry,0.2193212754199963,0.9580822085757347
near_x_pleasant,0.18864657399183787,0.9578064863054492
near_x_happy,0.1755847960213738,0.9578064863054492
sound_x_head,0.13104923490251924,0.957319972532155
loud_x_head,0.13288898443693703,0.957319972532155
motion_x_sound,0.23304554934829305,0.9569043480531589
motion_x_audition,0.24153063979354175,0.9569043480531589
harm_x_disgusted,0.1856949416174505,0.9568420475617342
pain_x_loud,0.2067428762463519,0.9567327491585405
pain_x_audition,0.2091106604985119,0.9567327491585405
touch,0.21753815036847102,0.9567306885869326
weight_sq,0.20371422449800305,0.9566305358713302
upperlimb,0.16121503794258718,0.9566046777317081
upperlimb_sq,0.1447695569445916,0.9566046777317081
color_x_taste,0.17205024730163695,0.9565800765304474
dark_x_duration,0.09015056396390207,0.9565149692066676
dark_x_time,0.06516521060957255,0.9565149692066676
color_sq,0.18154662977794825,0.9564892735478395
vision_x_body,0.17730630268876485,0.956222621499222
sound,0.2126013982918297,0.9562112925284496
harm_x_pleasant,0.13667309831142296,0.9561641134234311
harm_x_happy,0.12357133923058183,0.9561641134234311
shape_x_weight,0.22631869432160506,0.9558363750760118
smell_sq,0.15990796892838838,0.9557787232966527
sound_x_smell,0.15916912315974785,0.9557346864956668
drive_sq,0.1753635870306348,0.9556822884601746
drive,0.1961309381320911,0.9556822884601746
unpleasant_x_disgusted,0.18370564793063335,0.9555786915775901
disgusted_sq,0.1597564104085851,0.9555786915775901
face_x_unpleasant,0.1764916704596729,0.9555663873205055
speech_x_unpleasant,0.190549032433157,0.9555663873205055
fearful_x_surprised,0.21672068053775104,0.9554943621976216
unpleasant_x_fearful,0.21171164385437158,0.9553574042500399
pain_x_sound,0.1975676069916352,0.9553301470080442
head,0.1414171643892678,0.9552866876249003
head_sq,0.12960684969883396,0.9552866876249003
surprised_x_arousal,0.21800968801695927,0.9552511945240455
surprised,0.21738493788124186,0.9552511945240455
consequential_x_angry,0.2116869718326035,0.955231733530639
fearful,0.23297818397804196,0.9550456177930654
shape_x_low,0.19425854826947136,0.95480869571554
pattern_x_low,0.19673646589747104,0.95480869571554
vision_x_human,0.18578653530849357,0.9547555016448088
self,0.17047204031967592,0.9546531014047835
self_sq,0.14352661639758243,0.9546531014047835
vision_x_pleasant,0.2224186876800293,0.9546082108307544
vision_x_happy,0.208156472741317,0.9546082108307544
large_x_face,0.17253131356016546,0.954539712579163
large_x_speech,0.17587131558710647,0.954539712579163
disgusted_x_attention,0.2096807877792062,0.9543129476615018
disgusted_x_surprised,0.1957758123420603,0.9543129476615018
harm_x_unpleasant,0.21388748334840743,0.9541835294009132
harm_x_sad,0.20522880258816278,0.9541835294009132
disgusted,0.1947809420787089,0.9540517187560074
motion_x_loud,0.23841538544483212,0.9539911952321896
pattern_x_smell,0.18065275542004933,0.9539730821877812
shape_x_smell,0.1780380678785683,0.9539730821877812
sound_x_fearful,0.21998515356475018,0.9536905601165961
dark,0.12810190568659632,0.953610569851704
vision_x_dark,0.1443626053871105,0.953610569851704
fast_x_arousal,0.23753608388355418,0.9535500357331436
fast_x_attention,0.2389647801319016,0.9535500357331436
unpleasant_x_surprised,0.2205410791759041,0.9535060185392507
touch_sq,0.19148793204824277,0.9534329612589214
sound_x_surprised,0.20417045111664567,0.9534012508065183
audition_x_surprised,0.21495780844235648,0.9534012508065183
harm_x_arousal,0.2296973048609172,0.953068595647764
harm_x_attention,0.23751300061201158,0.953068595647764
pleasant_x_sad,0.12471313918997855,0.953028609016226
happy_x_sad,0.12348860875794317,0.953028609016226
loud_x_upperlimb,0.16135208176386087,0.9529863789608793
audition_x_toward,0.22358417198954672,0.95288118640339
loud_x_toward,0.22668693629432982,0.95288118640339
harm_x_angry,0.19969139497612987,0.9527598492865583
cognition,0.20694664132157997,0.9526791315962574
cognition_sq,0.18542015212384252,0.9526791315962574
angry_sq,0.17792666869915777,0.9526287982284717
practice_x_pleasant,0.18999262846786888,0.9526268508997545
practice_x_happy,0.1747999036688902,0.9526268508997545
weight_x_high,0.1785038033355455,0.9522811057981583
