class,feature,coefficient,abs_coefficient,model,target
Cluster_03,harm,-0.1786830465848747,0.1786830465848747,post_selection_logistic,kmeans_k3
Cluster_03,speech,-0.17834303763938295,0.17834303763938295,post_selection_logistic,kmeans_k3
Cluster_02,needs,0.17812772953902678,0.17812772953902678,post_selection_logistic,kmeans_k3
Cluster_03,social,-0.17474357479531827,0.17474357479531827,post_selection_logistic,kmeans_k3
Cluster_03,communication,-0.17407290717036758,0.17407290717036758,post_selection_logistic,kmeans_k3
Cluster_02,landmark,0.17196359888908472,0.17196359888908472,post_selection_logistic,kmeans_k3
Cluster_01,high,0.17024412627221044,0.17024412627221044,post_selection_logistic,kmeans_k3
Cluster_01,time,-0.1656207379901829,0.1656207379901829,post_selection_logistic,kmeans_k3
Cluster_03,needs,0.15908046142909418,0.15908046142909418,post_selection_logistic,kmeans_k3
Cluster_01,motion,0.1589241737689521,0.1589241737689521,post_selection_logistic,kmeans_k3
Cluster_02,social,-0.15885161554139532,0.15885161554139532,post_selection_logistic,kmeans_k3
Cluster_02,communication,0.15708946658892606,0.15708946658892606,post_selection_logistic,kmeans_k3
Cluster_01,bright,-0.15650207459677634,0.15650207459677634,post_selection_logistic,kmeans_k3
Cluster_03,surprised,-0.1550406790577231,0.1550406790577231,post_selection_logistic,kmeans_k3
Cluster_03,fast,-0.14887881403262282,0.14887881403262282,post_selection_logistic,kmeans_k3
Cluster_01,speech,-0.14880533529598858,0.14880533529598858,post_selection_logistic,kmeans_k3
Cluster_01,scene,-0.1475676752190758,0.1475676752190758,post_selection_logistic,kmeans_k3
Cluster_03,happy,0.1426342603121321,0.1426342603121321,post_selection_logistic,kmeans_k3
Cluster_03,low,0.14091654810645396,0.14091654810645396,post_selection_logistic,kmeans_k3
Cluster_02,harm,-0.13371630341961252,0.13371630341961252,post_selection_logistic,kmeans_k3
Cluster_01,dark,0.13278133714237986,0.13278133714237986,post_selection_logistic,kmeans_k3
Cluster_03,angry,-0.1319506922752476,0.1319506922752476,post_selection_logistic,kmeans_k3
Cluster_01,number,-0.12869223501865007,0.12869223501865007,post_selection_logistic,kmeans_k3
Cluster_02,short,0.12591473965941044,0.12591473965941044,post_selection_logistic,kmeans_k3
Cluster_01,cognition,0.12237266288120044,0.12237266288120044,post_selection_logistic,kmeans_k3
Cluster_02,surprised,-0.10980871269219433,0.10980871269219433,post_selection_logistic,kmeans_k3
Cluster_03,disgusted,-0.10718409424463118,0.10718409424463118,post_selection_logistic,kmeans_k3
Cluster_03,benefit,-0.1047283943193301,0.1047283943193301,post_selection_logistic,kmeans_k3
Cluster_03,unpleasant,-0.10285132685411379,0.10285132685411379,post_selection_logistic,kmeans_k3
Cluster_01,upperlimb,-0.10224814871646384,0.10224814871646384,post_selection_logistic,kmeans_k3
Cluster_02,long,0.09736084104129701,0.09736084104129701,post_selection_logistic,kmeans_k3
Cluster_02,upperlimb,-0.09380927652195795,0.09380927652195795,post_selection_logistic,kmeans_k3
Cluster_02,small,-0.09240189256373667,0.09240189256373667,post_selection_logistic,kmeans_k3
Cluster_01,low,0.09196412803636526,0.09196412803636526,post_selection_logistic,kmeans_k3
Cluster_01,texture,-0.09162102829960729,0.09162102829960729,post_selection_logistic,kmeans_k3
Cluster_02,vision,-0.08876531867296372,0.08876531867296372,post_selection_logistic,kmeans_k3
Cluster_01,color,-0.0872254779399647,0.0872254779399647,post_selection_logistic,kmeans_k3
Cluster_02,fast,0.08564389409342825,0.08564389409342825,post_selection_logistic,kmeans_k3
Cluster_01,drive,0.08010609306043508,0.08010609306043508,post_selection_logistic,kmeans_k3
Cluster_01,human,-0.07211398448767282,0.07211398448767282,post_selection_logistic,kmeans_k3
Cluster_02,arousal,0.07184733366521527,0.07184733366521527,post_selection_logistic,kmeans_k3
Cluster_01,fast,0.0632349199391941,0.0632349199391941,post_selection_logistic,kmeans_k3
Cluster_01,duration,-0.06300504039384412,0.06300504039384412,post_selection_logistic,kmeans_k3
Cluster_03,dark,0.06296199554659326,0.06296199554659326,post_selection_logistic,kmeans_k3
Cluster_01,face,-0.06208462717449626,0.06208462717449626,post_selection_logistic,kmeans_k3
Cluster_03,fearful,-0.06031404256226945,0.06031404256226945,post_selection_logistic,kmeans_k3
Cluster_03,sound,0.059420628413787285,0.059420628413787285,post_selection_logistic,kmeans_k3
Cluster_03,audition,-0.05776960398160403,0.05776960398160403,post_selection_logistic,kmeans_k3
Cluster_01,shape,-0.057581545107128186,0.057581545107128186,post_selection_logistic,kmeans_k3
Cluster_03,landmark,0.05641151527013436,0.05641151527013436,post_selection_logistic,kmeans_k3
Cluster_03,pain,-0.055098664560656055,0.055098664560656055,post_selection_logistic,kmeans_k3
Cluster_02,caused,-0.05219325727305606,0.05219325727305606,post_selection_logistic,kmeans_k3
Cluster_03,attention,-0.05133284160616566,0.05133284160616566,post_selection_logistic,kmeans_k3
Cluster_03,number,-0.050040734815906415,0.050040734815906415,post_selection_logistic,kmeans_k3
Cluster_01,touch,-0.04758924164441263,0.04758924164441263,post_selection_logistic,kmeans_k3
Cluster_01,biomotion,-0.03764054605285841,0.03764054605285841,post_selection_logistic,kmeans_k3
Cluster_02,motion,0.0373331805980552,0.0373331805980552,post_selection_logistic,kmeans_k3
Cluster_01,smell,0.03257702460026882,0.03257702460026882,post_selection_logistic,kmeans_k3
Cluster_01,pattern,-0.02475210958033516,0.02475210958033516,post_selection_logistic,kmeans_k3
Cluster_03,high,0.02472685483857726,0.02472685483857726,post_selection_logistic,kmeans_k3
Cluster_03,self,-0.023843106791770076,0.023843106791770076,post_selection_logistic,kmeans_k3
Cluster_01,weight,-0.01941470034501569,0.01941470034501569,post_selection_logistic,kmeans_k3
Cluster_02,consequential,-0.01836974782282411,0.01836974782282411,post_selection_logistic,kmeans_k3
Cluster_01,communication,0.016983440581442275,0.016983440581442275,post_selection_logistic,kmeans_k3
Cluster_03,sad,-0.014023507431984248,0.014023507431984248,post_selection_logistic,kmeans_k3
Cluster_03,toward,0.010454074609198153,0.010454074609198153,post_selection_logistic,kmeans_k3
Cluster_01,temperature,-0.0009236624532997647,0.0009236624532997647,post_selection_logistic,kmeans_k3
