,Property,Thing,Action,max_abs_coefficient
body_x_short,0.0235151162208013,-0.1325017783301992,0.0546744417552737,0.1325017783301992
motion_x_scene,-0.0441562002806799,0.1309973569943586,0.0,0.1309973569943586
vision_x_texture,-0.0328445434626673,0.1285564402473583,0.0,0.1285564402473583
slow_x_short,0.0,-0.024013104396365,0.1276238625221741,0.1276238625221741
small_x_consequential,-0.126717242905258,0.0714602259254293,0.0,0.126717242905258
weight_x_happy,-0.0224018669016136,0.124774509827337,-0.0078272119548882,0.124774509827337
upperlimb_x_duration,0.0,0.0978745831118212,-0.1224595217878612,0.1224595217878612
body_x_practice,0.0598180524121399,-0.1209039212358739,0.0,0.1209039212358739
texture_x_scene,-0.1172665933552947,0.0,0.0028998122268412,0.1172665933552947
path_x_short,0.0,-0.0380441029659281,0.1167837400226456,0.1167837400226456
pattern_x_human,0.0,-0.0649879663868873,0.1161226599734019,0.1161226599734019
shape_x_happy,0.0,0.114441198550157,-0.0133366536771583,0.114441198550157
touch_x_consequential,0.0091615792200372,-0.1117272947239145,0.0426299399824257,0.1117272947239145
self_x_unpleasant,-0.0934088061991186,0.1100437236853291,0.0,0.1100437236853291
practice_x_cognition,0.0226002254383958,-0.1098580260401441,0.0,0.1098580260401441
biomotion_x_landmark,-0.0052967851061659,-0.0214617844948194,0.109841158102609,0.109841158102609
complexity_x_practice,0.1018213245000022,-0.1082533163329864,0.0,0.1082533163329864
face_x_self,-0.0064460032668546,0.1061343293099269,-0.0941475990979205,0.1061343293099269
body_x_touch,0.0571090200552184,-0.1035711131212395,0.0,0.1035711131212395
practice_x_time,-0.0080121825238129,0.1029552858199003,-0.0656228703139424,0.1029552858199003
landmark_x_consequential,-0.102733389314597,0.0269648915461287,0.0,0.102733389314597
bright_x_shape,-0.0051218837252208,0.1021195121873368,-0.0128021058709004,0.1021195121873368
body_x_landmark,0.0,-0.1011345527104171,0.0393096492984586,0.1011345527104171
body_x_time,0.0639491931247781,0.0,-0.0998270326187546,0.0998270326187546
practice_x_fearful,0.0134151464682318,-0.0971027315036631,0.0,0.0971027315036631
slow_x_caused,0.0,-0.0955515183505952,0.0243726837199256,0.0955515183505952
bright_x_weight,0.0,0.0947516277364883,-0.0124454697325869,0.0947516277364883
lowerlimb_x_human,0.0,0.0939245640093559,-0.0718844111319413,0.0939245640093559
touch_x_cognition,0.0042329447823578,-0.0894139362618065,0.0088621069273748,0.0894139362618065
toward_x_drive,0.0860712641357649,-0.0126923001239401,-0.0250502633754783,0.0860712641357649
scene_x_self,0.085674572087674,-0.0510126985647336,0.0,0.085674572087674
color_x_shape,-0.0838179577817305,0.0801793142211746,0.0,0.0838179577817305
touch_x_human,0.0,-0.0812184143398232,0.0431468463252933,0.0812184143398232
upperlimb_x_drive,0.0,0.0792681825056883,-0.0348446076820933,0.0792681825056883
motion_x_human,-0.0391104972300961,0.0786449119663603,0.0,0.0786449119663603
away_x_consequential,-0.0773323568193347,0.0097313421724424,0.0,0.0773323568193347
small_x_short,0.0760403939863575,-0.0152532767712807,-0.0080157478273834,0.0760403939863575
practice_x_landmark,-0.0757972897794539,0.0074353530867356,0.0093448145341173,0.0757972897794539
human_sq,-0.0233956519885047,0.0752167680544624,-0.0009375819843286,0.0752167680544624
temperature_x_human,0.0,-0.0376144811930449,0.0743506809022111,0.0743506809022111
path_x_duration,0.0111998904969119,-0.0740228967570397,0.0,0.0740228967570397
biomotion_x_time,0.0027977978991472,0.0192982380878206,-0.0735674633319731,0.0735674633319731
