feature_1,feature_2,correlation,abs_correlation
pain,head,-0.08214201560738901,0.08214201560738901
social,pleasant,0.08202169735627436,0.08202169735627436
large,speech,-0.08195664115134615,0.08195664115134615
biomotion,practice,-0.08185591233496628,0.08185591233496628
low,speech,0.08184465116573643,0.08184465116573643
scene,arousal,-0.08178772654603021,0.08178772654603021
motion,texture,0.08177415176278711,0.08177415176278711
body,social,0.0817558693806606,0.0817558693806606
lowerlimb,unpleasant,-0.0817016450359607,0.0817016450359607
long,attention,0.08153257152412421,0.08153257152412421
number,human,-0.08143879604273704,0.08143879604273704
time,attention,0.08130136028959897,0.08130136028959897
self,attention,-0.08120221909507698,0.08120221909507698
sound,speech,0.08066436268844282,0.08066436268844282
long,happy,0.08058945230709805,0.08058945230709805
landmark,duration,0.08045743526441407,0.08045743526441407
fast,caused,-0.08013522044983591,0.08013522044983591
self,sad,-0.08003038749514796,0.08003038749514796
head,duration,-0.07984311695195141,0.07984311695195141
long,short,0.07982827755470595,0.07982827755470595
dark,fast,0.07970148282739883,0.07970148282739883
path,needs,-0.0794968110012268,0.0794968110012268
toward,surprised,-0.07937596742385936,0.07937596742385936
away,caused,-0.07929896659484612,0.07929896659484612
audition,lowerlimb,0.07915345455916557,0.07915345455916557
loud,sad,0.07910304601768793,0.07910304601768793
head,disgusted,0.07896804719365648,0.07896804719365648
dark,sad,0.078723904442597,0.078723904442597
large,human,-0.07871841518335569,0.07871841518335569
high,consequential,-0.078700324066436,0.078700324066436
bright,time,0.07869868993156548,0.07869868993156548
sound,human,-0.07853682345243891,0.07853682345243891
upperlimb,happy,0.07822050653089994,0.07822050653089994
pain,drive,0.07816995535513678,0.07816995535513678
dark,head,-0.07807610703130978,0.07807610703130978
biomotion,pain,0.0779801284664681,0.0779801284664681
fast,self,-0.07794917716114123,0.07794917716114123
loud,pleasant,-0.07793980300668438,0.07793980300668438
audition,landmark,-0.07787326681420371,0.07787326681420371
color,biomotion,-0.07765142575751831,0.07765142575751831
complexity,harm,0.07728123638689681,0.07728123638689681
landmark,needs,0.07724015034772815,0.07724015034772815
shape,harm,-0.07704992742507756,0.07704992742507756
audition,drive,0.07693987480716147,0.07693987480716147
fast,music,0.07663652857434924,0.07663652857434924
head,time,-0.07655860788533739,0.07655860788533739
away,sad,-0.07650148355939237,0.07650148355939237
audition,caused,0.07624201753873411,0.07624201753873411
cognition,needs,0.07622740593649423,0.07622740593649423
body,short,-0.07615711504492936,0.07615711504492936
slow,speech,0.07610306062180248,0.07610306062180248
fast,face,0.076057772122185,0.076057772122185
music,toward,-0.07591041252673954,0.07591041252673954
small,away,0.07563607875437497,0.07563607875437497
landmark,attention,-0.07561713114630036,0.07561713114630036
duration,sad,0.07559121365482109,0.07559121365482109
toward,number,-0.07554914132621829,0.07554914132621829
touch,landmark,-0.07550806270053652,0.07550806270053652
landmark,self,-0.07542717570122007,0.07542717570122007
music,surprised,0.07521738014153043,0.07521738014153043
loud,communication,0.07517963836513751,0.07517963836513751
scene,number,-0.07513301511822444,0.07513301511822444
face,time,-0.07470171860024634,0.07470171860024634
slow,audition,0.07446818184742221,0.07446818184742221
head,practice,0.07436198047845065,0.07436198047845065
upperlimb,attention,-0.07379604614509827,0.07379604614509827
color,needs,-0.07360402424420329,0.07360402424420329
loud,head,0.07348068839105519,0.07348068839105519
dark,landmark,0.07295642623173071,0.07295642623173071
lowerlimb,social,0.07289557451785739,0.07289557451785739
away,fearful,0.07287367979243538,0.07287367979243538
scene,near,0.07242151134240833,0.07242151134240833
landmark,drive,-0.07241423457596917,0.07241423457596917
motion,angry,-0.07236766758611184,0.07236766758611184
touch,lowerlimb,0.07229322198748755,0.07229322198748755
scene,fearful,-0.07214810529672443,0.07214810529672443
lowerlimb,disgusted,-0.07167546266616297,0.07167546266616297
dark,duration,-0.07148639799470875,0.07148639799470875
communication,unpleasant,0.07139045627011793,0.07139045627011793
high,unpleasant,0.07118161490670026,0.07118161490670026
dark,unpleasant,0.07094079776542146,0.07094079776542146
sound,lowerlimb,0.07090723572307973,0.07090723572307973
temperature,pleasant,0.07060697877483132,0.07060697877483132
pain,low,0.07047965837676086,0.07047965837676086
path,drive,-0.07030092714780808,0.07030092714780808
