feature,selected,n_active_classes,max_abs_coefficient,sum_abs_coefficient,model
small,True,2,0.1336624360422377,0.1863005922866315,LASSO
sound,True,2,0.1170130875429784,0.1973767897693685,LASSO
sad,True,3,0.1045715801158024,0.197654349484374,LASSO
cognition,True,2,0.0385918466725964,0.063225773445866,LASSO
needs,True,1,0.0235253059900861,0.0235253059900861,LASSO
practice,True,3,3.747788741568032,7.155619296225677,Elastic Net
human,True,3,2.8865005300469107,5.541732424546809,Elastic Net
short,True,3,2.666150063935471,4.95174652029536,Elastic Net
near,True,3,1.9969283594200555,3.5739793578812913,Elastic Net
surprised,True,3,1.9587925847252576,3.7557544257200157,Elastic Net
texture,True,3,1.946206443068732,3.7412317181805537,Elastic Net
drive,True,3,1.8690904984481855,3.397928052502557,Elastic Net
biomotion,True,3,1.7956203076337045,3.2604266304306724,Elastic Net
head,True,3,1.6820483463836773,3.0328165276388623,Elastic Net
motion,True,3,1.6571577098896817,3.190718832371862,Elastic Net
duration,True,3,1.512713613347647,2.6784755242074767,Elastic Net
upperlimb,True,3,1.48752046449592,2.653712377359852,Elastic Net
vision,True,3,1.4073497858913666,2.7450184125007553,Elastic Net
long,True,3,1.3836759323228525,2.4339040616130676,Elastic Net
self,True,3,1.324800999459608,2.239730785892514,Elastic Net
pain,True,3,1.32333437635803,2.3395118614597363,Elastic Net
complexity,True,3,1.255375218360022,2.3763288987214723,Elastic Net
path,True,3,1.2447364225405575,2.4132380990822773,Elastic Net
arousal,True,3,1.2189474695928455,2.2357241476641523,Elastic Net
caused,True,3,1.2058699538235005,2.1237938211239284,Elastic Net
benefit,True,3,1.1883107424115933,2.0010122989008727,Elastic Net
face,True,3,1.1556390651710589,1.9880278901457236,Elastic Net
time,True,3,1.1012123182320974,1.8934600998703583,Elastic Net
body,True,3,1.0935856872150862,1.8759007993562744,Elastic Net
toward,True,3,1.0608373726296891,1.8818710956784033,Elastic Net
pattern,True,3,1.0367799688719308,1.698461157165327,Elastic Net
speech,True,3,1.0245652997774868,2.0394059881137223,Elastic Net
music,True,3,1.0216736229427832,1.823693443871286,Elastic Net
color,True,3,0.9732434607369344,1.541563654632796,Elastic Net
loud,True,3,0.9569024403069156,1.7498303547306682,Elastic Net
landmark,True,2,0.9234943565809794,1.6723648325708538,Elastic Net
consequential,True,3,0.8751545084992814,1.726599416828814,Elastic Net
happy,True,3,0.8636248934248871,1.5471067186139966,Elastic Net
low,True,3,0.8154966491860597,1.428825150623187,Elastic Net
communication,True,3,0.7830214007597962,1.5152731635388197,Elastic Net
harm,True,3,0.7825504883294712,1.578587125137072,Elastic Net
taste,True,3,0.7776859625597672,1.342812534891014,Elastic Net
unpleasant,True,3,0.7171803374702382,1.1672313870280138,Elastic Net
angry,True,3,0.6953485810220611,1.162723531218901,Elastic Net
large,True,3,0.6949093881199905,1.2049916316706764,Elastic Net
shape,True,3,0.6699329750344047,1.0545344123692055,Elastic Net
number,True,3,0.6667854697914682,1.305346689767788,Elastic Net
attention,True,3,0.5655482425464081,1.0226372248748201,Elastic Net
away,True,3,0.556382887532164,1.027836763444575,Elastic Net
audition,True,3,0.5516383577013559,0.8912473418554671,Elastic Net
disgusted,True,3,0.547042155577529,0.9082292936011579,Elastic Net
dark,True,3,0.5319274348061243,1.0735075214290248,Elastic Net
high,True,3,0.5272843975287087,0.8617861115321107,Elastic Net
fast,True,3,0.5133975351117764,1.0447165786806567,Elastic Net
fearful,True,3,0.4980018644850513,0.8771795642280042,Elastic Net
lowerlimb,True,3,0.4851245173048186,0.814416509394954,Elastic Net
scene,True,2,0.4815579373933162,0.8571075276052056,Elastic Net
slow,True,3,0.4754526045623238,0.9053278370762801,Elastic Net
social,True,3,0.4582590614655697,0.8785114485243575,Elastic Net
smell,True,3,0.4563874431754249,0.8228414760425897,Elastic Net
sound,True,3,0.3595980772710104,0.6925502832815698,Elastic Net
touch,True,3,0.3492109154924827,0.5928643680998357,Elastic Net
pleasant,True,3,0.3098459186261317,0.4882054317088983,Elastic Net
sad,True,3,0.2938105005215156,0.5339292008716675,Elastic Net
weight,True,3,0.2282612315576614,0.4380787383436381,Elastic Net
bright,True,3,0.201384691517256,0.38002426166541226,Elastic Net
temperature,True,3,0.1917611783755015,0.3160024240997617,Elastic Net
small,True,3,0.1296412862871529,0.2367395353484327,Elastic Net
needs,True,3,0.1283509857045825,0.2616246414592623,Elastic Net
cognition,True,2,0.0377959161594845,0.0575074535554161,Elastic Net
