model,class_raw,class_display,feature,coefficient,abs_coefficient,is_nonzero
Post-selection Logistic,adjective,Property,sound,0.04556022643900906,0.04556022643900906,True
Post-selection Logistic,adjective,Property,music,0.5039511752397347,0.5039511752397347,True
Post-selection Logistic,adjective,Property,speech,0.37786965942151035,0.37786965942151035,True
Post-selection Logistic,adjective,Property,taste,0.06652872395138149,0.06652872395138149,True
Post-selection Logistic,adjective,Property,smell,-0.09995294947577145,0.09995294947577145,True
Post-selection Logistic,adjective,Property,head,-0.6753328701795479,0.6753328701795479,True
Post-selection Logistic,adjective,Property,upperlimb,-0.6195407914453404,0.6195407914453404,True
Post-selection Logistic,adjective,Property,lowerlimb,-0.07563026675743212,0.07563026675743212,True
Post-selection Logistic,adjective,Property,practice,0.1623198913437779,0.1623198913437779,True
Post-selection Logistic,adjective,Property,landmark,-0.48753425869542183,0.48753425869542183,True
Post-selection Logistic,adjective,Property,path,-0.056088706721153576,0.056088706721153576,True
Post-selection Logistic,adjective,Property,scene,-0.2645690660262831,0.2645690660262831,True
Post-selection Logistic,adjective,Property,near,-0.7879424881487903,0.7879424881487903,True
Post-selection Logistic,adjective,Property,toward,0.28000491191981924,0.28000491191981924,True
Post-selection Logistic,adjective,Property,away,0.16808761431692465,0.16808761431692465,True
Post-selection Logistic,adjective,Property,number,0.008774414452055306,0.008774414452055306,True
Post-selection Logistic,adjective,Property,time,-0.18839429263068994,0.18839429263068994,True
Post-selection Logistic,adjective,Property,duration,0.30013915960540055,0.30013915960540055,True
Post-selection Logistic,adjective,Property,long,-0.5446501420244304,0.5446501420244304,True
Post-selection Logistic,adjective,Property,short,-1.0798427971417819,1.0798427971417819,True
Post-selection Logistic,adjective,Property,caused,-0.47759551867957656,0.47759551867957656,True
Post-selection Logistic,adjective,Property,consequential,-0.5095794747648121,0.5095794747648121,True
Post-selection Logistic,adjective,Property,social,0.004986067894460908,0.004986067894460908,True
Post-selection Logistic,adjective,Property,human,-0.21168216772351858,0.21168216772351858,True
Post-selection Logistic,adjective,Property,communication,0.27518912707912013,0.27518912707912013,True
Post-selection Logistic,adjective,Property,self,0.19135547031374942,0.19135547031374942,True
Post-selection Logistic,adjective,Property,cognition,-0.038117893949822027,0.038117893949822027,True
Post-selection Logistic,adjective,Property,benefit,-0.3839574408202139,0.3839574408202139,True
Post-selection Logistic,adjective,Property,harm,0.023983007786891913,0.023983007786891913,True
Post-selection Logistic,adjective,Property,pleasant,0.07925721276189486,0.07925721276189486,True
Post-selection Logistic,adjective,Property,unpleasant,0.14797956609924434,0.14797956609924434,True
Post-selection Logistic,adjective,Property,happy,0.2690163600136508,0.2690163600136508,True
Post-selection Logistic,adjective,Property,sad,0.010089626298660436,0.010089626298660436,True
Post-selection Logistic,adjective,Property,angry,0.17678769644295225,0.17678769644295225,True
Post-selection Logistic,adjective,Property,disgusted,-0.11949795258243424,0.11949795258243424,True
Post-selection Logistic,adjective,Property,fearful,0.10636128301932747,0.10636128301932747,True
Post-selection Logistic,adjective,Property,surprised,-0.8257966769475357,0.8257966769475357,True
Post-selection Logistic,adjective,Property,drive,-0.6532653122202501,0.6532653122202501,True
Post-selection Logistic,adjective,Property,needs,-0.040801136510207434,0.040801136510207434,True
Post-selection Logistic,adjective,Property,attention,0.1551922675634523,0.1551922675634523,True
Post-selection Logistic,adjective,Property,arousal,0.059450084026642556,0.059450084026642556,True
Post-selection Logistic,noun,Thing,vision,-0.05517219133219298,0.05517219133219298,True
Post-selection Logistic,noun,Thing,bright,0.06492950698328014,0.06492950698328014,True
Post-selection Logistic,noun,Thing,dark,-0.041747898534295835,0.041747898534295835,True
Post-selection Logistic,noun,Thing,color,0.49284294348015634,0.49284294348015634,True
Post-selection Logistic,noun,Thing,pattern,-0.18821401826315018,0.18821401826315018,True
Post-selection Logistic,noun,Thing,large,0.1561270948969406,0.1561270948969406,True
Post-selection Logistic,noun,Thing,small,0.15131037639361564,0.15131037639361564,True
Post-selection Logistic,noun,Thing,motion,0.6561151688297325,0.6561151688297325,True
Post-selection Logistic,noun,Thing,biomotion,0.2753531029082762,0.2753531029082762,True
Post-selection Logistic,noun,Thing,fast,-0.007532342844269031,0.007532342844269031,True
Post-selection Logistic,noun,Thing,slow,-0.22305980040366927,0.22305980040366927,True
Post-selection Logistic,noun,Thing,shape,0.3607147105184203,0.3607147105184203,True
Post-selection Logistic,noun,Thing,complexity,-0.4826968934833372,0.4826968934833372,True
Post-selection Logistic,noun,Thing,face,0.2081446762871911,0.2081446762871911,True
Post-selection Logistic,noun,Thing,body,-0.36263566794056984,0.36263566794056984,True
Post-selection Logistic,noun,Thing,touch,-0.066290202969977,0.066290202969977,True
Post-selection Logistic,noun,Thing,temperature,0.08530848119059302,0.08530848119059302,True
Post-selection Logistic,noun,Thing,texture,0.6866652136376592,0.6866652136376592,True
Post-selection Logistic,noun,Thing,weight,0.1100315597435972,0.1100315597435972,True
Post-selection Logistic,noun,Thing,pain,-0.41043451796603164,0.41043451796603164,True
Post-selection Logistic,noun,Thing,audition,0.27533750162371345,0.27533750162371345,True
Post-selection Logistic,noun,Thing,loud,-0.0009154949781179579,0.0009154949781179579,True
Post-selection Logistic,noun,Thing,low,-0.03795596309487222,0.03795596309487222,True
Post-selection Logistic,noun,Thing,high,0.23994289529749202,0.23994289529749202,True
Post-selection Logistic,noun,Thing,sound,0.17506103908883763,0.17506103908883763,True
Post-selection Logistic,noun,Thing,music,-0.3918709957136889,0.3918709957136889,True
Post-selection Logistic,noun,Thing,speech,-0.047386843720566396,0.047386843720566396,True
Post-selection Logistic,noun,Thing,taste,-0.2318199009585128,0.2318199009585128,True
Post-selection Logistic,noun,Thing,smell,0.19509009832180785,0.19509009832180785,True
Post-selection Logistic,noun,Thing,head,0.47630488919249664,0.47630488919249664,True
Post-selection Logistic,noun,Thing,upperlimb,0.42574164480352517,0.42574164480352517,True
Post-selection Logistic,noun,Thing,lowerlimb,0.16430723364259464,0.16430723364259464,True
Post-selection Logistic,noun,Thing,practice,-1.4502877516331252,1.4502877516331252,True
Post-selection Logistic,noun,Thing,landmark,0.047860908275391446,0.047860908275391446,True
Post-selection Logistic,noun,Thing,path,-0.5082211531693129,0.5082211531693129,True
Post-selection Logistic,noun,Thing,scene,0.27394184493993534,0.27394184493993534,True
Post-selection Logistic,noun,Thing,near,0.5078171087343172,0.5078171087343172,True
Post-selection Logistic,noun,Thing,toward,-0.15335003719063328,0.15335003719063328,True
Post-selection Logistic,noun,Thing,away,-0.05160014964923905,0.05160014964923905,True
Post-selection Logistic,noun,Thing,number,0.30578773226571754,0.30578773226571754,True
Post-selection Logistic,noun,Thing,time,0.3685680502166114,0.3685680502166114,True
Post-selection Logistic,noun,Thing,duration,-0.5665558690136728,0.5665558690136728,True
Post-selection Logistic,noun,Thing,long,0.31818145954189797,0.31818145954189797,True
Post-selection Logistic,noun,Thing,short,0.293441979535193,0.293441979535193,True
Post-selection Logistic,noun,Thing,caused,-0.07457593097473118,0.07457593097473118,True
Post-selection Logistic,noun,Thing,consequential,0.05313594915357738,0.05313594915357738,True
Post-selection Logistic,noun,Thing,social,0.1946030315094264,0.1946030315094264,True
Post-selection Logistic,noun,Thing,human,-0.9796952038509239,0.9796952038509239,True
Post-selection Logistic,noun,Thing,communication,-0.2697997348782057,0.2697997348782057,True
Post-selection Logistic,noun,Thing,self,-0.6765283730039033,0.6765283730039033,True
Post-selection Logistic,noun,Thing,cognition,-0.001704588997099802,0.001704588997099802,True
Post-selection Logistic,noun,Thing,benefit,0.46628823575369627,0.46628823575369627,True
Post-selection Logistic,noun,Thing,harm,0.33991591926440456,0.33991591926440456,True
Post-selection Logistic,noun,Thing,pleasant,0.0006779056869246534,0.0006779056869246534,True
Post-selection Logistic,noun,Thing,unpleasant,-0.32547586706881176,0.32547586706881176,True
Post-selection Logistic,noun,Thing,happy,-0.10270320978532436,0.10270320978532436,True
Post-selection Logistic,noun,Thing,sad,0.1457782182583659,0.1457782182583659,True
Post-selection Logistic,noun,Thing,angry,-0.28836812454119315,0.28836812454119315,True
Post-selection Logistic,noun,Thing,disgusted,0.18404371553488108,0.18404371553488108,True
Post-selection Logistic,noun,Thing,fearful,0.012891607969044434,0.012891607969044434,True
Post-selection Logistic,noun,Thing,surprised,0.7188479751358162,0.7188479751358162,True
Post-selection Logistic,noun,Thing,drive,0.8113369321320522,0.8113369321320522,True
Post-selection Logistic,noun,Thing,needs,0.16834372246916793,0.16834372246916793,True
Post-selection Logistic,noun,Thing,attention,-0.22446479056430146,0.22446479056430146,True
Post-selection Logistic,noun,Thing,arousal,-0.4852873371820585,0.4852873371820585,True
Post-selection Logistic,verb,Action,vision,-0.5467095100792596,0.5467095100792596,True
Post-selection Logistic,verb,Action,bright,-0.14524971257061306,0.14524971257061306,True
Post-selection Logistic,verb,Action,dark,0.2488090007638384,0.2488090007638384,True
Post-selection Logistic,verb,Action,color,-0.2624531870249082,0.2624531870249082,True
Post-selection Logistic,verb,Action,pattern,0.4229667977546544,0.4229667977546544,True
Post-selection Logistic,verb,Action,large,0.13371153157864485,0.13371153157864485,True
Post-selection Logistic,verb,Action,small,0.01650764854991901,0.01650764854991901,True
Post-selection Logistic,verb,Action,motion,-0.06674817030196972,0.06674817030196972,True
Post-selection Logistic,verb,Action,biomotion,0.37709864928067627,0.37709864928067627,True
Post-selection Logistic,verb,Action,fast,0.3072573541587218,0.3072573541587218,True
Post-selection Logistic,verb,Action,slow,0.2548543317941276,0.2548543317941276,True
Post-selection Logistic,verb,Action,shape,-0.20737066980812216,0.20737066980812216,True
Post-selection Logistic,verb,Action,complexity,-0.00929431141978131,0.00929431141978131,True
Post-selection Logistic,verb,Action,face,-0.384500005710263,0.384500005710263,True
Post-selection Logistic,verb,Action,body,0.19039588522246617,0.19039588522246617,True
Post-selection Logistic,verb,Action,touch,0.1827543188031484,0.1827543188031484,True
Post-selection Logistic,verb,Action,temperature,-0.08198347187063881,0.08198347187063881,True
Post-selection Logistic,verb,Action,texture,0.02459406935579035,0.02459406935579035,True
Post-selection Logistic,verb,Action,weight,-0.08985736019507931,0.08985736019507931,True
Post-selection Logistic,verb,Action,pain,-0.11759223077177264,0.11759223077177264,True
Post-selection Logistic,verb,Action,audition,-0.12268779209368488,0.12268779209368488,True
Post-selection Logistic,verb,Action,loud,0.36711330233847783,0.36711330233847783,True
Post-selection Logistic,verb,Action,low,-0.21411554545074785,0.21411554545074785,True
Post-selection Logistic,verb,Action,high,-0.07491824633328652,0.07491824633328652,True
Post-selection Logistic,verb,Action,sound,-0.22062126552784614,0.22062126552784614,True
Post-selection Logistic,verb,Action,music,-0.11208017952604486,0.11208017952604486,True
Post-selection Logistic,verb,Action,speech,-0.33048281570094357,0.33048281570094357,True
Post-selection Logistic,verb,Action,taste,0.16529117700713025,0.16529117700713025,True
Post-selection Logistic,verb,Action,smell,-0.09513714884603625,0.09513714884603625,True
Post-selection Logistic,verb,Action,head,0.1990279809870515,0.1990279809870515,True
Post-selection Logistic,verb,Action,upperlimb,0.1937991466418154,0.1937991466418154,True
Post-selection Logistic,verb,Action,lowerlimb,-0.08867696688516108,0.08867696688516108,True
Post-selection Logistic,verb,Action,practice,1.2879678602893476,1.2879678602893476,True
Post-selection Logistic,verb,Action,landmark,0.43967335042003197,0.43967335042003197,True
Post-selection Logistic,verb,Action,path,0.5643098598904681,0.5643098598904681,True
Post-selection Logistic,verb,Action,scene,-0.009372778913651488,0.009372778913651488,True
Post-selection Logistic,verb,Action,near,0.28012537941446947,0.28012537941446947,True
Post-selection Logistic,verb,Action,toward,-0.12665487472918743,0.12665487472918743,True
Post-selection Logistic,verb,Action,away,-0.11648746466768486,0.11648746466768486,True
Post-selection Logistic,verb,Action,number,-0.31456214671777255,0.31456214671777255,True
Post-selection Logistic,verb,Action,time,-0.18017375758592005,0.18017375758592005,True
Post-selection Logistic,verb,Action,duration,0.26641670940827245,0.26641670940827245,True
Post-selection Logistic,verb,Action,long,0.22646868248253277,0.22646868248253277,True
Post-selection Logistic,verb,Action,short,0.7864008176065885,0.7864008176065885,True
Post-selection Logistic,verb,Action,caused,0.5521714496543082,0.5521714496543082,True
Post-selection Logistic,verb,Action,consequential,0.45644352561123414,0.45644352561123414,True
Post-selection Logistic,verb,Action,social,-0.1995890994038869,0.1995890994038869,True
Post-selection Logistic,verb,Action,human,1.1913773715744416,1.1913773715744416,True
Post-selection Logistic,verb,Action,communication,-0.005389392200914334,0.005389392200914334,True
Post-selection Logistic,verb,Action,self,0.4851729026901531,0.4851729026901531,True
Post-selection Logistic,verb,Action,cognition,0.03982248294692195,0.03982248294692195,True
Post-selection Logistic,verb,Action,benefit,-0.08233079493348505,0.08233079493348505,True
Post-selection Logistic,verb,Action,harm,-0.3638989270512965,0.3638989270512965,True
Post-selection Logistic,verb,Action,pleasant,-0.07993511844881925,0.07993511844881925,True
Post-selection Logistic,verb,Action,unpleasant,0.17749630096956792,0.17749630096956792,True
Post-selection Logistic,verb,Action,happy,-0.16631315022832546,0.16631315022832546,True
Post-selection Logistic,verb,Action,sad,-0.15586784455702746,0.15586784455702746,True
Post-selection Logistic,verb,Action,angry,0.11158042809824083,0.11158042809824083,True
Post-selection Logistic,verb,Action,disgusted,-0.06454576295244684,0.06454576295244684,True
Post-selection Logistic,verb,Action,fearful,-0.11925289098837244,0.11925289098837244,True
Post-selection Logistic,verb,Action,surprised,0.10694870181171817,0.10694870181171817,True
Post-selection Logistic,verb,Action,drive,-0.1580716199118023,0.1580716199118023,True
Post-selection Logistic,verb,Action,needs,-0.12754258595896095,0.12754258595896095,True
Post-selection Logistic,verb,Action,attention,0.06927252300084989,0.06927252300084989,True
Post-selection Logistic,verb,Action,arousal,0.42583725315541715,0.42583725315541715,True
