model,class_raw,class_display,fold,C,l1_ratio,macro_f1_cv
Elastic Net,adjective,Property,2,2.1544346900318843,0.1,0.8595246982704988
Elastic Net,adjective,Property,2,2.1544346900318843,0.3,0.8595246982704988
Elastic Net,adjective,Property,2,2.1544346900318843,0.5,0.8595246982704988
Elastic Net,adjective,Property,2,2.1544346900318843,0.7,0.9198083862137613
Elastic Net,adjective,Property,2,2.1544346900318843,0.9,0.8821573780802839
Elastic Net,adjective,Property,2,7.742636826811277,0.1,0.8960092539039907
Elastic Net,adjective,Property,2,7.742636826811277,0.3,0.8595246982704988
Elastic Net,adjective,Property,2,7.742636826811277,0.5,0.8960092539039907
Elastic Net,adjective,Property,2,7.742636826811277,0.7,0.9276428481275131
Elastic Net,adjective,Property,2,7.742636826811277,0.9,0.9276428481275131
Elastic Net,adjective,Property,2,27.825594022071257,0.1,0.8960092539039907
Elastic Net,adjective,Property,2,27.825594022071257,0.3,0.8960092539039907
Elastic Net,adjective,Property,2,27.825594022071257,0.5,0.9276428481275131
Elastic Net,adjective,Property,2,27.825594022071257,0.7,0.9276428481275131
Elastic Net,adjective,Property,2,27.825594022071257,0.9,0.9276428481275131
Elastic Net,adjective,Property,2,100.0,0.1,0.8960092539039907
Elastic Net,adjective,Property,2,100.0,0.3,0.9276428481275131
Elastic Net,adjective,Property,2,100.0,0.5,0.9276428481275131
Elastic Net,adjective,Property,2,100.0,0.7,0.9276428481275131
Elastic Net,adjective,Property,2,100.0,0.9,0.9061276379354183
Elastic Net,adjective,Property,3,0.001,0.1,0.29914529914529914
Elastic Net,adjective,Property,3,0.001,0.3,0.29914529914529914
Elastic Net,adjective,Property,3,0.001,0.5,0.29914529914529914
Elastic Net,adjective,Property,3,0.001,0.7,0.29914529914529914
Elastic Net,adjective,Property,3,0.001,0.9,0.29914529914529914
Elastic Net,adjective,Property,3,0.003593813663804626,0.1,0.29914529914529914
Elastic Net,adjective,Property,3,0.003593813663804626,0.3,0.29914529914529914
Elastic Net,adjective,Property,3,0.003593813663804626,0.5,0.29914529914529914
Elastic Net,adjective,Property,3,0.003593813663804626,0.7,0.29914529914529914
Elastic Net,adjective,Property,3,0.003593813663804626,0.9,0.29914529914529914
Elastic Net,adjective,Property,3,0.01291549665014884,0.1,0.4588570470923412
Elastic Net,adjective,Property,3,0.01291549665014884,0.3,0.29914529914529914
Elastic Net,adjective,Property,3,0.01291549665014884,0.5,0.29914529914529914
Elastic Net,adjective,Property,3,0.01291549665014884,0.7,0.29914529914529914
Elastic Net,adjective,Property,3,0.01291549665014884,0.9,0.29914529914529914
Elastic Net,adjective,Property,3,0.046415888336127795,0.1,0.7896825396825397
Elastic Net,adjective,Property,3,0.046415888336127795,0.3,0.731981981981982
Elastic Net,adjective,Property,3,0.046415888336127795,0.5,0.5611111111111111
Elastic Net,adjective,Property,3,0.046415888336127795,0.7,0.5611111111111111
Elastic Net,adjective,Property,3,0.046415888336127795,0.9,0.4588570470923412
Elastic Net,adjective,Property,3,0.1668100537200059,0.1,0.8630155510480053
Elastic Net,adjective,Property,3,0.1668100537200059,0.3,0.7896825396825397
Elastic Net,adjective,Property,3,0.1668100537200059,0.5,0.772584833019966
Elastic Net,adjective,Property,3,0.1668100537200059,0.7,0.7896825396825397
Elastic Net,adjective,Property,3,0.1668100537200059,0.9,0.8163667293401379
Elastic Net,adjective,Property,3,0.5994842503189409,0.1,0.9087964666912035
Elastic Net,adjective,Property,3,0.5994842503189409,0.3,0.887037037037037
Elastic Net,adjective,Property,3,0.5994842503189409,0.5,0.8163667293401379
Elastic Net,adjective,Property,3,0.5994842503189409,0.7,0.7987228607918263
Elastic Net,adjective,Property,3,0.5994842503189409,0.9,0.7987228607918263
Elastic Net,adjective,Property,3,2.1544346900318843,0.1,0.9087964666912035
Elastic Net,adjective,Property,3,2.1544346900318843,0.3,0.9087964666912035
Elastic Net,adjective,Property,3,2.1544346900318843,0.5,0.9087964666912035
Elastic Net,adjective,Property,3,2.1544346900318843,0.7,0.887037037037037
