feature,mutual_information
motion_x_needs,0.08935378700702779
biomotion_x_texture,0.08934697653144474
texture_x_scene,0.08930042921246417
vision_x_short,0.08929031201038429
landmark_x_drive,0.08915212571536268
large_x_human,0.08913667854412988
complexity_x_duration,0.08912109722337314
landmark_x_surprised,0.08869010112982889
complexity_x_cognition,0.08840514711930791
color_x_number,0.08839465645227329
self_x_drive,0.08834462425283451
upperlimb_x_arousal,0.08833188913249046
away_x_caused,0.08826555982962758
upperlimb_x_self,0.08826508669595046
away_x_short,0.08819329191676584
path_x_time,0.08811273799618657
fast_x_audition,0.08775579600425787
face_x_arousal,0.0872884394161586
away_x_happy,0.08728168607341025
texture_x_short,0.08695572481504699
self_x_unpleasant,0.0869191495598749
path_x_away,0.08678668988823657
complexity_x_landmark,0.08671019878806452
pattern_x_biomotion,0.08663416857237793
motion_x_audition,0.08660566282934679
short_x_needs,0.08659936616901298
fast_x_drive,0.08645850144885325
small_x_path,0.08645823382289564
fast_sq,0.08642561942472704
pattern_x_path,0.08639875282883502
vision_x_benefit,0.08639811516798823
toward_x_self,0.08632734769152317
vision_x_fast,0.08631789322068584
small_x_pleasant,0.08619896108259129
biomotion_x_cognition,0.08611936623879735
body_x_low,0.08594443968029819
upperlimb_x_near,0.08592085859154475
path_x_benefit,0.08584467509920546
caused_x_self,0.08574266427012112
complexity_x_time,0.08573939969750533
touch_x_arousal,0.08569093365323788
pain_x_self,0.08553044885947236
human_x_sad,0.0854702801789684
color_x_temperature,0.08541074095093304
slow_x_caused,0.08524576975740716
short_x_social,0.08524271646478776
motion_x_surprised,0.08512266894864506
vision_x_scene,0.08501016266720085
complexity_x_benefit,0.08479818932585403
small_x_social,0.08478130017367835
weight_x_landmark,0.08475816624253962
bright_x_texture,0.0847538333792286
weight_x_smell,0.0847293163020566
texture_x_benefit,0.08470406815373388
away_x_consequential,0.0845397821666296
vision_x_audition,0.08443495183893379
fast_x_away,0.08433310524517545
slow_x_duration,0.08423323221815582
texture_x_duration,0.08413890045843253
fast_x_caused,0.08410573187946446
upperlimb_x_landmark,0.08406867266670592
shape_x_human,0.08405296074082136
scene_x_duration,0.08394536257382113
lowerlimb_x_self,0.08391216493811604
away_x_pleasant,0.08388836712902425
fast_x_upperlimb,0.083790067310888
pattern_x_toward,0.08359320731553921
near_x_harm,0.08344961190166389
head_x_path,0.08338280624668792
temperature_x_human,0.08333821226496418
weight_x_speech,0.08326679912091794
short_x_attention,0.08323811739664722
pattern_x_texture,0.08319723532173473
biomotion_x_touch,0.08314174567151844
fast_x_low,0.08308556787686028
body_x_pain,0.08303076379435992
consequential,0.08302387463390914
audition_x_scene,0.08295358604128644
near_x_communication,0.08251609753033051
biomotion_x_needs,0.08220734862300594
small_x_cognition,0.0820919661243158
body_x_long,0.0820902029241366
large_x_slow,0.0818698538879894
upperlimb_x_duration,0.0818177902105599
vision_x_touch,0.08168493540992516
touch_x_consequential,0.08160069209661036
face_x_social,0.08130398514506099
complexity_x_consequential,0.08125751064597919
body_x_texture,0.08124523622759927
time_x_short,0.08124261846834968
complexity_x_number,0.08116886522437428
fast_x_speech,0.08110357531040746
pattern_x_low,0.08095887016411774
toward_x_surprised,0.08092249115311256
face_x_angry,0.08090524503864027
small_x_texture,0.0808417513726305
short_x_caused,0.08082490647243601
face_x_consequential,0.08075343116417066
shape_x_temperature,0.08070475641804076
color_x_near,0.08059337972747649
face_x_toward,0.08045777786153252
texture_x_communication,0.08041967449472542
color_x_scene,0.08038753088973727
number_x_human,0.08028140804864026
weight_x_pleasant,0.08015366170719784
face_x_audition,0.08014548402211807
music_x_practice,0.08010234173931874
speech_x_path,0.07996301467158151
human_x_cognition,0.07990006684989659
speech_x_duration,0.07989825848556387
motion_x_sound,0.07975898369769086
complexity_x_surprised,0.07974014188966216
biomotion_x_long,0.07968245173006228
body_x_pleasant,0.07961796994286963
motion_x_drive,0.07952792352558613
drive_sq,0.07947478958390697
shape_x_audition,0.07940288051961164
shape_x_attention,0.07914244302700468
body_x_touch,0.07913376039686693
near_x_unpleasant,0.07903761590080882
color_x_long,0.07902209641597069
weight_x_drive,0.07893098717949987
texture_x_consequential,0.07891867830859689
motion_x_communication,0.07890359269936886
motion_x_benefit,0.07873130972566145
fast_x_unpleasant,0.07861520080156548
consequential_sq,0.0786051976263824
texture_x_path,0.07857264462948543
complexity_x_social,0.07855817756403916
near_x_surprised,0.07850497992014738
upperlimb_x_benefit,0.07848227201730928
face_x_taste,0.07847367261215399
texture_x_needs,0.07842712156122755
fast_x_needs,0.07838760654936316
self_x_sad,0.0782722027614342
color_x_disgusted,0.07826215115719037
shape_x_practice,0.07820306569940016
texture_x_away,0.07790546055303738
audition_x_path,0.07790354954563816
complexity_x_high,0.07775943777482941
path_x_scene,0.07764309471153674
body_x_happy,0.07760535126761847
upperlimb_x_caused,0.07759201620874379
small_x_fast,0.07742415245361567
color_x_shape,0.07730168973964213
away_x_duration,0.07720436475301073
shape_x_near,0.07713003392298412
landmark,0.077108163745361
large_x_happy,0.07710680442568152
path_x_needs,0.0769711725318325
fast_x_communication,0.0767970144210457
sound_x_attention,0.07656880022110535
temperature_x_practice,0.07649768902922638
texture_x_landmark,0.07634102805225296
long_x_benefit,0.07621770204711309
large_x_practice,0.07609580036580987
small_x_self,0.07609188321708826
toward_x_drive,0.07608190892621303
large_x_small,0.07607012167861571
face_x_benefit,0.07592480373128341
texture_x_music,0.07585428311592901
small_x_body,0.07584051965045746
communication_x_cognition,0.07577111687899896
speech_x_caused,0.0757123270194866
toward_x_duration,0.07567934911798968
lowerlimb_x_away,0.07558986016237501
fast_x_shape,0.07550750569185394
duration_x_caused,0.07545167625952809
path_x_unpleasant,0.07545117843726867
self_x_benefit,0.07541321332518991
toward_x_long,0.07538069100062228
texture_x_drive,0.07508082906392444
face_x_scene,0.0750527356485573
sound_x_practice,0.07501768944121001
small_x_motion,0.07488455770167013
fast_x_lowerlimb,0.0748290273658756
pattern_x_scene,0.07476480472373526
loud_x_benefit,0.07466746044710648
color_x_touch,0.0746439350163941
toward_x_arousal,0.07442642893705242
landmark_sq,0.07431640746312396
small_x_touch,0.0742656822501151
face_x_away,0.07395927007136316
speech_x_short,0.07385860333697392
fast_x_scene,0.07382692368011945
large_sq,0.07379466023552328
small_x_surprised,0.07378689340250744
color_x_small,0.07375064997368042
consequential_x_happy,0.07372989652926898
complexity_x_smell,0.07345785957208406
color_x_smell,0.07338738383848065
shape_x_caused,0.07334797561392992
pattern,0.07319666955220971
motion_x_shape,0.07319199351466499
self_x_arousal,0.07305898788711707
touch_x_audition,0.07300103568080951
human_x_disgusted,0.07298913831335252
lowerlimb_x_benefit,0.07297751813577258
color_x_texture,0.0728491495190211
touch_x_lowerlimb,0.07279271444918822
biomotion_x_scene,0.07276403689307642
slow_x_surprised,0.07266175322881652
motion_x_texture,0.07254357129057554
large_x_motion,0.07252646885119796
large_x_duration,0.0723364728250735
fast_x_texture,0.07227260384457357
scene_x_human,0.0722615326438858
motion_x_high,0.07218360172099914
fast_x_long,0.07199282588404698
drive,0.07198701561132648
audition_x_landmark,0.0718425744345681
pattern_x_consequential,0.0717854748713882
fast_x_time,0.07176532542098957
color_x_toward,0.07169211903964867
shape_x_needs,0.0716779379431336
texture_x_toward,0.07161513456841795
fast_x_near,0.07161396459691516
bright_x_touch,0.07159046591694773
touch_x_toward,0.07150043892770297
body_x_fearful,0.07146806854456633
fast_x_face,0.0714165984766828
bright_x_self,0.07134074324475281
weight_x_number,0.07128920493280444
body_x_music,0.07126660781138883
motion_x_attention,0.07126196884705016
caused_x_surprised,0.07124984436491677
pattern_x_body,0.07116966506471956
toward_x_cognition,0.07113965143473044
body_x_sound,0.07093464668252292
fast,0.07090969091295829
slow_x_arousal,0.07065262495636104
weight_x_scene,0.07064042640018964
upperlimb_x_consequential,0.07060039623966663
away_x_cognition,0.07058768858021014
touch_x_self,0.07052719558940224
near_x_benefit,0.0703356413648486
music,0.07001144549377947
landmark_x_unpleasant,0.06988266345083072
duration_x_arousal,0.06974959567404326
pattern_x_attention,0.0697487387777107
speech_x_toward,0.06967865552663155
