feature,anova_f,anova_pvalue,mutual_information,max_abs_class_mean_contrast,rank_anova,rank_mi,rank_class_contrast,combined_rank
body_x_toward,44.00198728516807,4.285411549118813e-18,0.1513121576527876,1.1327039223504616,86.0,61.0,80.0,75.66666666666667
short,47.99478057802536,1.6087203016761235e-19,0.14561387445505614,1.1045657836913545,76.0,71.0,84.0,77.0
landmark_x_short,56.68457907161634,1.5069922928654005e-22,0.1283542019268693,1.2349716365755952,58.0,114.0,59.0,77.0
complexity_x_self,59.73742313174789,1.3720207642040014e-23,0.12534563746340477,1.2725935136107949,53.0,126.0,54.0,77.66666666666667
near_x_caused,76.13113970056655,5.506135634007702e-29,0.11651518710538511,1.375065286492344,35.0,161.0,39.0,78.33333333333333
practice_x_path,85.13386885019915,8.058871978732228e-32,0.11407602883390733,1.4648950038017734,28.0,178.0,29.0,78.33333333333333
path_x_drive,74.32746091788194,2.086261610216504e-28,0.11539990384073295,1.3756835344946408,39.0,167.0,38.0,81.33333333333333
human,34.24002763730524,1.6325129513364188e-14,0.22507317133375637,1.0223221215803022,125.0,13.0,112.0,83.33333333333333
practice_x_unpleasant,56.73328537685583,1.4501536205748845e-22,0.1378050826610384,1.0313130489294067,57.0,93.0,107.0,85.66666666666667
fast_x_self,84.69275505588033,1.1044656882049967e-31,0.1078358335029741,1.46578209165481,29.0,205.0,28.0,87.33333333333333
slow_x_consequential,53.126138470622166,2.548159984640965e-21,0.12107194881052341,1.2210660603032777,64.0,143.0,61.0,89.33333333333333
consequential_x_self,49.82049480482509,3.646919696703113e-20,0.12457353140097238,1.1959973506570345,73.0,131.0,67.0,90.33333333333333
upperlimb_x_path,58.5235812233937,3.5462482800050155e-23,0.11624122343308274,1.258815929882855,55.0,162.0,55.0,90.66666666666667
path_x_consequential,51.37170264027919,1.041836191560943e-20,0.12284731366972568,1.186999478839156,66.0,137.0,71.0,91.33333333333333
fast_x_cognition,58.0220099722309,5.256780884288249e-23,0.11593070940940464,1.27320150251275,56.0,165.0,53.0,91.33333333333333
short_x_benefit,43.088561497936325,9.145830491427685e-18,0.14467421364076372,1.0181436563804713,88.0,75.0,116.0,93.0
biomotion_x_consequential,35.114264390860754,7.69920513925589e-15,0.15938425169642767,1.0213307196250978,116.0,49.0,115.0,93.33333333333333
practice,31.472728852003094,1.7937038579858444e-13,0.31132524059466404,0.982432960401006,145.0,6.0,133.0,94.66666666666667
practice_x_sad,59.43812292265665,1.733318093214686e-23,0.1174349755957329,1.1369011925887853,54.0,156.0,79.0,96.33333333333333
practice_sq,30.533963773423842,4.069512735442386e-13,0.31156279205180915,0.9616918549151541,151.0,5.0,141.0,99.0
near_x_cognition,45.45753172174614,1.2875922509574105e-18,0.12238003493579286,1.1471595718186887,83.0,139.0,77.0,99.66666666666667
slow_x_practice,66.8159560298201,5.867155615326614e-26,0.10549479650284521,1.3443747014868805,46.0,219.0,44.0,103.0
complexity_x_short,32.80058507044106,5.660104459797974e-14,0.1681350038489875,0.9752766049869664,132.0,42.0,137.0,103.66666666666667
practice_x_surprised,71.41609566385968,1.8234571604132422e-27,0.10317670869712403,1.376908184136107,41.0,238.0,37.0,105.33333333333333
practice_x_attention,46.14342764825525,7.323455561350295e-19,0.11553270362250578,1.1509475563053981,81.0,166.0,76.0,107.66666666666667
practice_x_long,67.82310608984577,2.730599555646738e-26,0.10415692181316016,1.3436898449542034,44.0,234.0,45.0,107.66666666666667
near_x_arousal,41.24787606411292,4.248740477017613e-17,0.125077199595389,1.027176255709356,93.0,128.0,109.0,110.0
body_x_landmark,55.67723672945292,3.3428535855181643e-22,0.10523242968792323,1.251323823882461,60.0,225.0,57.0,114.0
lowerlimb_x_short,63.914386577529626,5.396807205256607e-25,0.10235063631422614,1.3164706069146153,48.0,247.0,48.0,114.33333333333333
path_x_duration,40.72623318508438,6.579242841122216e-17,0.11612895889761488,1.0988385895206094,94.0,163.0,86.0,114.33333333333333
long_x_human,37.06252807605505,1.4559822239844396e-15,0.12078999137745283,1.0507565910046028,105.0,144.0,98.0,115.66666666666667
biomotion_x_landmark,54.622674862607646,7.722148263218981e-22,0.10508219999232482,1.2218466230407348,62.0,228.0,60.0,116.66666666666667
biomotion_x_away,42.9107590759232,1.0603424561127475e-17,0.11282315129536435,1.1071414999762463,89.0,182.0,83.0,118.0
away_x_self,77.76248885544724,1.6622799334643483e-29,0.09764861182521223,1.420296690813658,33.0,291.0,31.0,118.33333333333333
toward_x_short,33.88694527138455,2.2131648364403538e-14,0.13687206245883776,0.9813352019150261,126.0,96.0,134.0,118.66666666666667
fast_x_human,41.659993393677716,3.0095084658526725e-17,0.11182815776128519,1.0990196230506781,91.0,185.0,85.0,120.33333333333333
biomotion_x_caused,34.66165163483713,1.1357747555740924e-14,0.1234821976812035,1.0230651220704798,120.0,134.0,110.0,121.33333333333333
path_x_social,53.40933060467256,2.031835292218979e-21,0.10311940127242614,1.2182640869706214,63.0,239.0,62.0,121.33333333333333
upperlimb_x_human,39.20028394073839,2.3767644570499345e-16,0.1141086677845582,1.066364130413664,98.0,177.0,96.0,123.66666666666667
path_x_arousal,36.895573329632015,1.6784799849804248e-15,0.11754703939721312,1.0219017410909874,106.0,155.0,114.0,125.0
path,44.75121834607276,2.3057780508026196e-18,0.10715155097016438,1.1085941491683164,84.0,209.0,82.0,125.0
biomotion_x_toward,33.63508936953943,2.750413928182956e-14,0.12592227168768422,0.992255627198706,127.0,123.0,125.0,125.0
practice_x_communication,33.583451363141336,2.875819326101356e-14,0.12466620645038096,1.0156138153657879,128.0,130.0,118.0,125.33333333333333
body_x_away,50.615451320841736,1.9172274516788324e-20,0.10247309307722197,1.2044360394085432,69.0,244.0,63.0,125.33333333333333
touch_x_short,46.27742765561555,6.560174066494378e-19,0.10542816479083417,1.139302788488179,80.0,221.0,78.0,126.33333333333333
path_x_caused,47.157784567630976,3.187771998930074e-19,0.10466163564479625,1.1538153147029346,78.0,232.0,75.0,128.33333333333334
self,55.6160470251545,3.5089478407881443e-22,0.09945123511349285,1.2462711869529013,61.0,269.0,58.0,129.33333333333334
slow_x_body,29.993991782717256,6.528520050189882e-13,0.13204934973672855,0.9667022422415119,154.0,107.0,140.0,133.66666666666666
fast_x_practice,36.052918015058374,3.4455971911975768e-15,0.11172359310714897,1.0278800987948549,110.0,186.0,108.0,134.66666666666666
path_sq,40.55047131595291,7.62524967352427e-17,0.1053545513463281,1.086287703202239,95.0,222.0,89.0,135.33333333333334
near_x_self,36.67506280192789,2.025587805206756e-15,0.1097472119119367,1.0378061937343874,107.0,197.0,103.0,135.66666666666666
short_x_consequential,34.68776631650958,1.110559361762673e-14,0.12036973096896153,0.9601555242513592,119.0,146.0,143.0,136.0
consequential_x_human,40.10439430483648,1.1093843557334997e-16,0.10510023102423283,1.0893017478350167,97.0,227.0,88.0,137.33333333333334
body_x_consequential,26.98662425170897,9.257747134835355e-12,0.14370031345912015,0.9205721087556786,177.0,79.0,160.0,138.66666666666666
practice_x_angry,46.39094625282345,5.976407440310177e-19,0.10658030566062959,0.9920057807079387,79.0,213.0,127.0,139.66666666666666
