feature,max_abs_class_mean_contrast
benefit_x_surprised,0.573834478991011
taste_x_self,0.57321356177396
benefit_x_arousal,0.5729094902691109
landmark_x_communication,0.5716477469694703
small,0.5714843229664702
motion_x_complexity,0.5712030226205537
vision_x_bright,0.5711315358481279
large_x_upperlimb,0.5703863087408271
bright_x_weight,0.5699808947632029
scene_x_arousal,0.5691496788863284
face_x_duration,0.5689012562837097
face_x_toward,0.568769340430249
color_x_near,0.5685853033339818
motion_x_consequential,0.5683414538758745
texture_x_away,0.5678625062546412
large_x_drive,0.5677542103345269
color_x_attention,0.567201178485616
self_x_fearful,0.5662189465846662
complexity_x_benefit,0.5661518227896878
scene_x_attention,0.5660690818618372
slow_x_pleasant,0.5658480595719434
pattern_x_texture,0.565208734749967
head_x_scene,0.5650917115066798
toward_x_happy,0.5647269085970997
color_x_texture,0.5642789120053632
harm_x_pleasant,0.5637662711506325
fast,0.5625186666239383
small_x_texture,0.5624480845072832
vision_x_happy,0.5621738919161898
motion_x_toward,0.561659768399536
fast_x_away,0.5613973632029644
toward_x_time,0.5605988887148852
vision_x_fast,0.5605755688168205
texture_sq,0.5604863219237559
scene_x_surprised,0.5590914124957788
fast_x_pleasant,0.5590806949158416
complexity_x_path,0.5585651145547269
consequential_x_drive,0.5584764754517493
path_x_unpleasant,0.55844485087478
practice_x_near,0.5578009863117811
short_x_attention,0.5575238779963373
color_x_pleasant,0.5574073742813869
vision_x_pleasant,0.5573917871237255
sound_x_drive,0.5571930373455952
upperlimb_x_near,0.5570852970621465
bright_x_near,0.5570296752075038
scene_x_away,0.5568799534032972
path_x_disgusted,0.5567180879992525
small_x_time,0.5546379892407318
audition_x_benefit,0.5543588162565348
upperlimb_x_toward,0.5538290606587926
touch_x_happy,0.552493376658373
bright_x_human,0.5524276475906188
away_x_unpleasant,0.5520726799309633
color_x_drive,0.5515496483200917
touch_x_near,0.5493501641437691
large_x_short,0.5485565713748034
motion_x_sound,0.548534101460898
away_x_time,0.5484449858709973
motion_x_near,0.5484018590973974
color_x_pattern,0.5478611680438037
temperature_x_upperlimb,0.5478502876662608
vision,0.5477395810364989
motion_x_audition,0.5474197770788366
loud_x_scene,0.5469520121101578
short_x_happy,0.5462155045686262
texture_x_practice,0.5461917165452288
long_x_surprised,0.545824566378509
color_x_happy,0.545687298770858
harm_x_happy,0.5456852267725811
weight_x_social,0.5454102389033748
motion_x_weight,0.545173012916081
temperature_x_weight,0.5448489862377017
large_x_pleasant,0.5448376407550515
touch_x_weight,0.5447391287633404
surprised_x_drive,0.542461093337221
motion_x_fast,0.5421957600813486
bright_x_face,0.5413523996737968
bright_x_texture,0.5411472052396084
scene_x_pleasant,0.5407790392167405
fast_x_benefit,0.5400457811880579
