feature,anova_f,anova_pvalue,mutual_information,max_abs_class_mean_contrast,rank_anova,rank_mi,rank_class_contrast,combined_rank
dark_x_body,3.1382382269121245,0.04436560175413561,0.06875343289299263,0.3246303977043906,1356.0,627.0,1444.0,1142.3333333333333
low_x_attention,5.429576053191599,0.004694470140108287,0.03704293127261815,0.3899243297747873,943.0,1306.0,1180.0,1143.0
high_x_near,2.5890863163328026,0.07627266653906499,0.06089362474965454,0.39253768702808806,1498.0,774.0,1162.0,1144.6666666666667
biomotion_x_unpleasant,4.543578171875112,0.011157032163450984,0.040792725521220374,0.3977428170648066,1079.0,1214.0,1142.0,1145.0
sound_x_smell,5.770192214915507,0.0033686585399130184,0.041185812662632104,0.35154972272465723,902.0,1200.0,1333.0,1145.0
smell_x_attention,7.531486274368043,0.000610585774843606,0.023267949895987794,0.4109923677492387,694.0,1662.0,1081.0,1145.6666666666667
complexity_x_music,2.127095754419144,0.12045003003764507,0.1266910658737912,0.2540027093053674,1616.0,119.0,1703.0,1146.0
smell_x_harm,3.3836548422076214,0.03483967926541091,0.0635093088916745,0.3333311450022121,1306.0,726.0,1409.0,1147.0
happy,4.525319848088092,0.011358278296524082,0.026058115292801665,0.48466385521507366,1086.0,1583.0,773.0,1147.3333333333333
temperature_x_pleasant,6.7059479041603165,0.0013572272463252537,0.012280776756009582,0.482401225185505,779.0,1886.0,778.0,1147.6666666666667
large_x_consequential,4.404977645853896,0.012779117620880855,0.02503305782836418,0.4970827482887522,1099.0,1618.0,728.0,1148.3333333333333
audition_x_social,2.7890407154752572,0.06260586168618959,0.05450777965666198,0.4028442759133625,1443.0,891.0,1114.0,1149.3333333333333
motion_x_smell,6.465352585118392,0.0017139607959109542,0.022447147628369635,0.440197942502693,806.0,1692.0,951.0,1149.6666666666667
shape_x_lowerlimb,3.769890442563911,0.023829270992171848,0.05562678804323995,0.3482827623779561,1226.0,876.0,1351.0,1151.0
vision_x_attention,5.444996542357907,0.00462441318732574,0.04528245313482304,0.3321773221050665,941.0,1098.0,1416.0,1151.6666666666667
high_x_long,4.210406935140714,0.01546403885475737,0.03371270435955309,0.44722608334421565,1142.0,1401.0,912.0,1151.6666666666667
sound_x_human,3.7089581015051762,0.025299720247394197,0.06611858217514466,0.30398535427678275,1247.0,671.0,1538.0,1152.0
upperlimb_x_communication,6.920530825825878,0.0011024414022205288,0.02446465466714476,0.41103689497394474,750.0,1632.0,1079.0,1153.6666666666667
time_x_consequential,3.7170256999003937,0.025099910577115376,0.06044696542247774,0.3272459780528913,1242.0,783.0,1437.0,1154.0
small_x_head,5.508321413742373,0.004347563828276677,0.026621207618271914,0.4374601869736683,933.0,1572.0,962.0,1155.6666666666667
large_x_attention,5.502548279030942,0.004372098022943893,0.026473753944432188,0.437907079443527,934.0,1576.0,959.0,1156.3333333333333
biomotion_x_speech,1.6187177881016304,0.1993718446118965,0.15224041679780043,0.25958459654427823,1726.0,59.0,1685.0,1156.6666666666667
shape_x_high,6.659744353520719,0.0014194062379190263,0.03241814895000816,0.3706914408214955,789.0,1429.0,1252.0,1156.6666666666667
surprised_x_arousal,3.6164052728776426,0.027709572858925613,0.03715803526859829,0.44745105627741455,1259.0,1301.0,911.0,1157.0
smell_sq,6.846931543333241,0.0011839035743892454,0.028194161158217268,0.38997946727841093,759.0,1533.0,1179.0,1157.0
communication_x_benefit,5.446443458487236,0.004617893837716865,0.030610029206066036,0.4165969096519791,940.0,1475.0,1057.0,1157.3333333333333
biomotion_x_temperature,3.9480616485291424,0.0200037817307096,0.052477996311345976,0.3476547373239496,1194.0,928.0,1355.0,1159.0
fast_x_unpleasant,2.9916759787781384,0.05126164585916022,0.07861520080156548,0.2883166455122811,1387.0,499.0,1594.0,1160.0
smell_x_pleasant,7.329889016862356,0.0007418928226807004,0.015195162649685567,0.44120473186703285,715.0,1834.0,942.0,1163.6666666666667
small_x_harm,3.294527753354438,0.03803494015551812,0.040118619118196364,0.4406102802061403,1318.0,1229.0,947.0,1164.6666666666667
happy_x_drive,3.120525486314167,0.045146832095451325,0.04848809563468026,0.40651256445201506,1365.0,1032.0,1100.0,1165.6666666666667
scene_x_happy,5.350088590123272,0.005072868680099593,0.01242584675482683,0.5182382312515185,956.0,1883.0,663.0,1167.3333333333333
pattern_x_lowerlimb,2.3382204464024245,0.09773946462781975,0.06741398261870968,0.36018908967754876,1562.0,650.0,1298.0,1170.0
low_x_scene,6.736022078737023,0.0013182323143907787,0.026552456552080717,0.392451430171326,775.0,1573.0,1163.0,1170.3333333333333
slow_x_pain,5.107708975697453,0.006426725850491831,0.04485639321817181,0.33191074913950214,986.0,1109.0,1418.0,1171.0
smell_x_head,4.255977808645243,0.014788301997298775,0.04570319435754899,0.3616426631430313,1132.0,1092.0,1290.0,1171.3333333333333
temperature_x_low,4.948135884097209,0.007510859817526727,0.046828190726170726,0.3280739704554401,1017.0,1070.0,1432.0,1173.0
head_x_practice,6.244354258584465,0.0021241849985363503,0.02588861314165891,0.407567923704745,833.0,1592.0,1094.0,1173.0
body_x_weight,3.804378272387758,0.023035367266759324,0.04909253315566442,0.36301788535908364,1222.0,1013.0,1285.0,1173.3333333333333
audition_x_practice,5.221507016801059,0.005750962854821836,0.030485987546869264,0.41271954432645025,972.0,1478.0,1071.0,1173.6666666666667
complexity_x_social,2.9737237626447466,0.052177248689565005,0.07855817756403916,0.2806049585206566,1396.0,502.0,1625.0,1174.3333333333333
touch_x_needs,2.8300056068241064,0.06012517028542059,0.049730158223870724,0.4099832728187133,1434.0,1000.0,1089.0,1174.3333333333333
audition_x_short,3.7001973121177163,0.02551850856796274,0.033154623770345504,0.46093506273636314,1250.0,1415.0,862.0,1175.6666666666667
low_x_landmark,2.6778276086874735,0.06987162497338711,0.06583486851752074,0.3437612504434361,1479.0,678.0,1370.0,1175.6666666666667
self_x_disgusted,4.553680154529287,0.011047229894569554,0.03652666652033054,0.39789442459517116,1077.0,1316.0,1139.0,1177.3333333333333
duration_x_happy,4.119916504738841,0.01689923073171586,0.03708202422995144,0.4119644944222698,1157.0,1303.0,1074.0,1178.0
low_x_sound,5.845734074272512,0.0031298419097948254,0.03376858482128764,0.3717053557984602,887.0,1398.0,1250.0,1178.3333333333333
pain_x_lowerlimb,7.569307766051322,0.000588687231829446,0.0,0.5031561815885915,689.0,2138.5,708.0,1178.5
color_x_face,5.362318780344033,0.0050127114332331624,0.02071711347663463,0.46090674656521696,954.0,1729.0,863.0,1182.0
time_x_surprised,2.2801067884849977,0.10352305693334866,0.06522106444638975,0.36169853353753456,1575.0,688.0,1289.0,1184.0
texture_x_communication,1.8730387301314346,0.15492221049802682,0.08041967449472542,0.3332630780542149,1669.0,475.0,1410.0,1184.6666666666667
long_x_social,4.0507706210983585,0.018085485694344778,0.0288080382822391,0.4594975618259861,1169.0,1519.0,868.0,1185.3333333333333
weight_x_loud,6.248431842508871,0.0021157874328140156,0.027438368943394575,0.39069913947997276,831.0,1552.0,1176.0,1186.3333333333333
shape_x_taste,5.0905353228646755,0.006535418746869803,0.04519335277852954,0.3183572220315835,990.0,1102.0,1469.0,1187.0
complexity_x_surprised,1.9562794036728086,0.1426545199911956,0.07974014188966216,0.3300284491802759,1654.0,485.0,1422.0,1187.0
pattern_x_body,2.7651621525310293,0.06409904321760912,0.07116966506471956,0.3111845371831895,1448.0,600.0,1513.0,1187.0
body_x_sad,2.475495395516538,0.08533356552877044,0.08998973037059943,0.26243417386953416,1523.0,369.0,1674.0,1188.6666666666667
happy_x_disgusted,4.398414302851744,0.012861554016112456,0.027814056315073055,0.4444924958014386,1102.0,1541.0,925.0,1189.3333333333333
temperature_x_path,2.716622206344177,0.06724557874973515,0.050621986492096926,0.3996067156856868,1464.0,973.0,1133.0,1190.0
pain_x_near,5.424064145965435,0.004719769197818942,0.030885911851067815,0.3933058185159328,945.0,1467.0,1160.0,1190.6666666666667
loud_x_number,5.898708630171569,0.00297258656626216,0.023656605190272018,0.4201113187196623,879.0,1655.0,1041.0,1191.6666666666667
biomotion_x_sound,2.4292664440469327,0.08932392817775205,0.05822315500991859,0.37979931877122614,1535.0,822.0,1219.0,1192.0
