class,feature,coefficient,abs_coefficient,model,target
Cluster_02,landmark,0.0,0.0,lasso,kmeans_k3
Cluster_03,toward,0.0,0.0,lasso,kmeans_k3
Cluster_02,toward,0.0,0.0,lasso,kmeans_k3
Cluster_03,sound,0.0,0.0,lasso,kmeans_k3
Cluster_01,sound,0.0,0.0,lasso,kmeans_k3
Cluster_01,path,0.0,0.0,lasso,kmeans_k3
Cluster_02,path,0.0,0.0,lasso,kmeans_k3
Cluster_03,path,0.0,0.0,lasso,kmeans_k3
Cluster_01,number,0.0,0.0,lasso,kmeans_k3
Cluster_03,number,0.0,0.0,lasso,kmeans_k3
Cluster_01,lowerlimb,0.0,0.0,lasso,kmeans_k3
Cluster_02,lowerlimb,0.0,0.0,lasso,kmeans_k3
Cluster_03,lowerlimb,0.0,0.0,lasso,kmeans_k3
Cluster_01,slow,0.0,0.0,lasso,kmeans_k3
Cluster_02,slow,0.0,0.0,lasso,kmeans_k3
Cluster_03,slow,0.0,0.0,lasso,kmeans_k3
Cluster_01,away,0.0,0.0,lasso,kmeans_k3
Cluster_02,away,0.0,0.0,lasso,kmeans_k3
Cluster_03,away,0.0,0.0,lasso,kmeans_k3
Cluster_01,music,0.0,0.0,lasso,kmeans_k3
Cluster_02,music,0.0,0.0,lasso,kmeans_k3
Cluster_03,music,0.0,0.0,lasso,kmeans_k3
Cluster_01,motion,0.0,0.0,lasso,kmeans_k3
Cluster_02,motion,0.0,0.0,lasso,kmeans_k3
Cluster_03,motion,0.0,0.0,lasso,kmeans_k3
