feature,anova_f_score,anova_p_value,anova_rank,mutual_information,mi_rank,mean_rank
self,66.22106025376057,9.229839791597179e-26,33.0,0.17484660043591393,32.0,32.5
long,66.53072329122973,7.289844683337579e-26,32.0,0.1624497897161148,36.0,34.0
face,33.967184526027204,2.065208725771956e-14,40.0,0.16850829866989803,35.0,37.5
communication,38.22287287178045,5.433229164305223e-16,39.0,0.15396568807247824,38.0,38.5
needs,31.64328387749781,1.5461706449740717e-13,42.0,0.1604779207795175,37.0,39.5
dark,32.907391226867894,5.1600073732348975e-14,41.0,0.15203573844924767,39.0,40.0
smell,45.505021096690214,1.2381976974879056e-18,36.0,0.09202648851154183,47.0,41.5
near,42.98212159291416,9.992273945855668e-18,37.0,0.10516487675946329,46.0,41.5
time,40.17984264437583,1.0411697259262363e-16,38.0,0.10627736723696612,45.0,41.5
taste,30.25248944117121,5.205817504777063e-13,43.0,0.11897435671485401,42.0,42.5
complexity,15.183024208061193,4.2757288243943067e-07,48.0,0.1319655360165337,40.0,44.0
scene,19.463824339157355,8.165226799862435e-09,45.0,0.10691323346653037,44.0,44.5
biomotion,12.207855754289895,6.996716083117817e-06,50.0,0.11453541489704966,43.0,46.5
upperlimb,16.710776508501592,1.0323552326507044e-07,47.0,0.07998553503031625,50.0,48.5
body,26.44265079387674,1.500953070312997e-11,44.0,0.06671483412156642,54.0,49.0
large,8.056349251473385,0.00036801548844118216,54.0,0.08353920875957876,48.0,51.0
fast,7.492366565730283,0.000634097556377469,55.0,0.08274568420980755,49.0,52.0
loud,19.008813739590362,1.2392916115392629e-08,46.0,0.041535938637315084,59.0,52.5
head,0.1692244203331666,0.844376262455491,65.0,0.12883837133727938,41.0,53.0
low,10.006290058936841,5.669390556497871e-05,53.0,0.049481190173308987,56.0,54.5
audition,6.682670871023186,0.0013882028118471098,56.0,0.06960428261187346,53.0,54.5
high,10.139580082508415,4.991936330416155e-05,52.0,0.04906011633857754,57.0,54.5
landmark,5.683897313364036,0.003663961088598067,58.0,0.0699844908512981,52.0,55.0
toward,13.972461081536698,1.3273979451707534e-06,49.0,0.021165339615901058,63.0,56.0
sound,10.837119570895071,2.567911458180666e-05,51.0,0.032698746877478646,61.0,56.0
path,1.33247035117695,0.264924568800636,63.0,0.07011397779475237,51.0,57.0
number,5.314205392173317,0.005253588215687927,59.0,0.06216996228106764,55.0,57.0
lowerlimb,1.4672682327367303,0.23171992885128304,62.0,0.043872113103871735,58.0,60.0
slow,4.888233224073842,0.007963730613474327,61.0,0.037403974934086204,60.0,60.5
away,6.144212968252098,0.0023412690113488836,57.0,0.007844807119416819,65.0,61.0
music,5.144888015207576,0.006197598889910741,60.0,0.012503540409064096,64.0,62.0
motion,0.8604721237934062,0.42369786259315284,64.0,0.02872758553013477,62.0,63.0
