model,class_display,feature,coefficient,abs_coefficient
LASSO,Property,texture,-2.0661972184204016,2.0661972184204016
LASSO,Property,long,-1.9498196270548944,1.9498196270548944
LASSO,Property,motion,-1.9497544509798823,1.9497544509798823
LASSO,Property,complexity,1.4265692339490494,1.4265692339490494
LASSO,Property,head,-1.4091453286818492,1.4091453286818492
LASSO,Property,biomotion,-1.3866959379360384,1.3866959379360384
LASSO,Property,pain,1.2490790202585544,1.2490790202585544
LASSO,Property,vision,1.166037313016025,1.166037313016025
LASSO,Property,music,1.1444284083296814,1.1444284083296814
LASSO,Property,upperlimb,-1.090000547274021,1.090000547274021
LASSO,Property,toward,0.9748795171135808,0.9748795171135808
LASSO,Property,loud,-0.9206262554437368,0.9206262554437368
LASSO,Property,consequential,-0.8455860762304,0.8455860762304
LASSO,Property,speech,0.8308598372780059,0.8308598372780059
LASSO,Property,happy,0.8221907987062677,0.8221907987062677
LASSO,Property,duration,0.7848020172581514,0.7848020172581514
LASSO,Property,large,-0.7824700487505455,0.7824700487505455
LASSO,Property,communication,0.7645622338230265,0.7645622338230265
LASSO,Property,drive,-0.7609204537404607,0.7609204537404607
LASSO,Property,landmark,-0.7458308509907071,0.7458308509907071
LASSO,Property,low,0.700154122815812,0.700154122815812
LASSO,Property,caused,-0.56321805158605,0.56321805158605
LASSO,Property,dark,-0.4859602256876794,0.4859602256876794
LASSO,Property,fearful,0.4266414117551754,0.4266414117551754
LASSO,Property,fast,-0.3380322628169148,0.3380322628169148
LASSO,Property,scene,-0.330543656510831,0.330543656510831
LASSO,Property,practice,0.3191108584751445,0.3191108584751445
LASSO,Property,time,-0.3156264974609597,0.3156264974609597
LASSO,Property,pleasant,0.308496687635919,0.308496687635919
LASSO,Property,body,0.2985205871488291,0.2985205871488291
LASSO,Property,away,0.285581821302616,0.285581821302616
LASSO,Property,taste,0.2753345814304704,0.2753345814304704
LASSO,Property,color,-0.24402676378807,0.24402676378807
LASSO,Property,angry,0.2206542384922027,0.2206542384922027
LASSO,Property,disgusted,-0.2131406456485295,0.2131406456485295
LASSO,Property,smell,-0.1589383161662385,0.1589383161662385
LASSO,Property,human,-0.1515771587734845,0.1515771587734845
LASSO,Property,benefit,-0.1448513923960002,0.1448513923960002
LASSO,Property,arousal,0.1418478869377895,0.1418478869377895
LASSO,Property,small,-0.1336624360422377,0.1336624360422377
LASSO,Property,attention,0.1301786071163944,0.1301786071163944
LASSO,Property,path,0.1207352905656172,0.1207352905656172
LASSO,Property,self,0.1081079811774733,0.1081079811774733
LASSO,Property,weight,-0.0999212116407435,0.0999212116407435
LASSO,Property,unpleasant,0.0959885059321587,0.0959885059321587
LASSO,Property,harm,0.0943987139077827,0.0943987139077827
LASSO,Property,high,-0.0836652126813863,0.0836652126813863
LASSO,Property,sound,0.0803637022263901,0.0803637022263901
LASSO,Property,number,0.076571002617725,0.076571002617725
LASSO,Property,social,-0.0582142758290855,0.0582142758290855
LASSO,Property,audition,-0.052610690753442,0.052610690753442
LASSO,Property,cognition,0.0385918466725964,0.0385918466725964
LASSO,Property,shape,-0.0348660938555617,0.0348660938555617
LASSO,Property,face,0.0174843356045356,0.0174843356045356
LASSO,Property,sad,0.0125447744746751,0.0125447744746751
LASSO,Property,slow,0.010618127194607,0.010618127194607
LASSO,Property,touch,0.0026648148667488,0.0026648148667488
LASSO,Thing,practice,-4.799638540060006,4.799638540060006
LASSO,Thing,drive,2.406219545306396,2.406219545306396
LASSO,Thing,texture,1.8048470464359372,1.8048470464359372
LASSO,Thing,duration,-1.7362147871371785,1.7362147871371785
LASSO,Thing,self,-1.646645028372084,1.646645028372084
LASSO,Thing,human,-1.6259021643904372,1.6259021643904372
LASSO,Thing,surprised,1.620413469834616,1.620413469834616
LASSO,Thing,benefit,1.6094266972440283,1.6094266972440283
LASSO,Thing,arousal,-1.4881748727495123,1.4881748727495123
LASSO,Thing,motion,1.4597309794420803,1.4597309794420803
LASSO,Thing,head,1.2608585325296762,1.2608585325296762
LASSO,Thing,color,1.2457307670168265,1.2457307670168265
LASSO,Thing,body,-1.239827178944601,1.239827178944601
LASSO,Thing,upperlimb,1.2036101987418508,1.2036101987418508
LASSO,Thing,near,1.0477587267823067,1.0477587267823067
LASSO,Thing,time,0.9414444897033544,0.9414444897033544
LASSO,Thing,path,-0.8802125464747363,0.8802125464747363
LASSO,Thing,pain,-0.8216728690354752,0.8216728690354752
LASSO,Thing,shape,0.7542805755960159,0.7542805755960159
LASSO,Thing,toward,-0.6564537732112126,0.6564537732112126
LASSO,Thing,attention,-0.6483642154320112,0.6483642154320112
LASSO,Thing,angry,-0.6390897890944107,0.6390897890944107
LASSO,Thing,harm,0.6269591892482372,0.6269591892482372
LASSO,Thing,scene,0.6254105156669303,0.6254105156669303
LASSO,Thing,communication,-0.6120928105242407,0.6120928105242407
LASSO,Thing,complexity,-0.582622565694209,0.582622565694209
LASSO,Thing,number,0.5534589981214828,0.5534589981214828
LASSO,Thing,smell,0.466100448334564,0.466100448334564
LASSO,Thing,taste,-0.4494204435906981,0.4494204435906981
LASSO,Thing,slow,-0.4422490447074114,0.4422490447074114
LASSO,Thing,lowerlimb,0.4414669828008388,0.4414669828008388
LASSO,Thing,unpleasant,-0.4203175855914938,0.4203175855914938
LASSO,Thing,face,0.4012829822102641,0.4012829822102641
LASSO,Thing,audition,0.3871200201821332,0.3871200201821332
LASSO,Thing,social,0.3870937724667943,0.3870937724667943
LASSO,Thing,loud,0.3681985926774936,0.3681985926774936
LASSO,Thing,happy,-0.3592489430797022,0.3592489430797022
LASSO,Thing,disgusted,0.3525169139996083,0.3525169139996083
LASSO,Thing,music,-0.3448329306683762,0.3448329306683762
LASSO,Thing,high,0.3205559004915095,0.3205559004915095
LASSO,Thing,biomotion,0.2779832518153521,0.2779832518153521
LASSO,Thing,pattern,-0.2637779802671348,0.2637779802671348
LASSO,Thing,touch,-0.2202725497164138,0.2202725497164138
LASSO,Thing,short,0.1979346379758799,0.1979346379758799
LASSO,Thing,low,-0.195644226619135,0.195644226619135
LASSO,Thing,fearful,-0.1955601913689312,0.1955601913689312
LASSO,Thing,bright,0.1837991510586452,0.1837991510586452
