feature,anova_f_score,anova_p_value,anova_rank,mutual_information,mi_rank,univariate_logistic_neg_log_loss,univariate_logistic_rank,anova_score_norm,mi_score_norm,logistic_score_norm,combined_screening_score,mean_rank,combined_rank
pattern,9.390774661765324,0.00010213714274221186,23,0.06580700024574138,23,-0.587360941318842,25,0.1674107662382991,0.14416340287897766,0.26325624177060186,0.17728091600103107,23.666666666666668,26
bright,8.732516977734775,0.00019203017592935782,25,0.048858300646394515,37,-0.5809811836387871,20,0.15555451893582103,0.10703388475034166,0.3347736820401231,0.1719900978824897,27.333333333333332,27
lowerlimb,13.741258869121118,1.6491654097697349e-06,15,0.011434870781693807,58,-0.5852950072002289,24,0.2457697704691434,0.025050372714368708,0.2864154787414031,0.16561115302168547,32.333333333333336,28
smell,8.697334994703974,0.00019863093181007576,26,0.035646384531464514,47,-0.5838936607585619,23,0.1549208365626041,0.07809053862352637,0.3021246506982234,0.1536294802140969,32.0,29
duration,8.400458501922603,0.0002642362405358858,27,0.057637596538262725,28,-0.5948114319798691,35,0.14957362801175805,0.12626668925331025,0.17973582492241028,0.14628329189050937,30.0,30
large,6.11686020542435,0.0024043482508140993,32,0.07219329407912567,22,-0.593962096856691,33,0.10844246190516627,0.15815385750185482,0.18925691913741394,0.14448991159029123,29.0,31
landmark,5.038004698675169,0.006879488376417369,36,0.07797471122361732,19,-0.593562796225957,29,0.08901059198252824,0.17081920869398298,0.19373310153182996,0.1426785405769705,28.0,32
face,0.875051138619025,0.417590334386013,60,0.14573259711464304,7,-0.6091598795750891,60,0.01402930712377603,0.3192564169766668,0.01888892519460054,0.13709207467909723,42.333333333333336,33
sound,7.378387248590926,0.0007079183956273399,28,0.04540107795377102,39,-0.5909406991299054,27,0.13116453103615525,0.09946014660671189,0.22312695657338064,0.136875262371823,31.333333333333332,34
audition,6.511850262938845,0.0016383456598316156,31,0.05664112104219243,29,-0.5939012001038179,31,0.11555684874412725,0.12408371027140008,0.18993957514170506,0.13384413863455194,30.333333333333332,35
head,5.62533593523658,0.0038790422533210487,33,0.05854849572709275,26,-0.5943493768256377,34,0.09958934337135239,0.1282621962092733,0.18491548903367824,0.12812371363898592,31.0,36
scene,6.545462762255929,0.0015857799807944787,30,0.0398524424685891,44,-0.593792991756353,30,0.11616226226838355,0.0873047502219536,0.1911525967664407,0.119617324349423,34.666666666666664,37
loud,5.319538488256577,0.005226325221824546,34,0.04990415415322125,36,-0.5939531249217748,32,0.0940814545250551,0.109325036145999,0.18935749502942298,0.11923409527430626,34.0,38
number,3.848653274676735,0.02205499050425381,47,0.0599009126785397,25,-0.5967355845554464,37,0.06758851829531025,0.1312249361777225,0.1581659669756875,0.1111585751843506,36.333333333333336,39
surprised,4.224414700783025,0.015253089699634768,43,0.05611013154053146,30,-0.5986601414484216,39,0.07435656749964169,0.12292047151007375,0.13659157660832993,0.10622913092555217,37.333333333333336,40
high,4.5955698689631745,0.010603379557205658,39,0.04494548412846644,40,-0.5955519828267354,36,0.08104165081624216,0.0984620771621043,0.17143420852671526,0.10608833289668163,38.333333333333336,41
temperature,4.097060133135431,0.0172824398590725,44,0.05107945801998426,35,-0.5992588216163711,41,0.07206271315390195,0.11189977445980538,0.1298803384549229,0.09956106273646752,40.0,42
speech,0.2323868513712096,0.7927400819966882,64,0.10523563298142413,15,-0.6105483887841483,64,0.002453921211946279,0.23053971307113424,0.0033236593330109887,0.0938621855798344,47.666666666666664,43
communication,4.339600565100347,0.013624524471564788,42,0.043600958155936675,41,-0.6014022701231609,46,0.0764312445238942,0.09551662396206118,0.10585216085902739,0.08994957956618763,43.0,44
low,3.934471925041438,0.020272465883138434,46,0.037504278963353066,45,-0.5993955682680412,43,0.06913424600434159,0.08216062816553207,0.12834740084454216,0.08618742983685791,44.666666666666664,45
arousal,5.30616561971105,0.005294958156673369,35,0.021230007483104663,53,-0.598651128357035,38,0.09384058831040118,0.046508579793660944,0.1366926138666725,0.08347819001495936,42.0,46
happy,4.525319848088092,0.011358278296524082,40,0.027953135322015932,50,-0.599283912424992,42,0.07977633840029083,0.06123693671053102,0.129599069087519,0.08232512386183255,44.0,47
social,4.958744840029269,0.007433394791799269,37,0.020829673149086014,54,-0.5991978703534714,40,0.08758299833939556,0.04563156732286149,0.13056360551965976,0.07939854736883478,43.666666666666664,48
music,1.7137115424576088,0.18143853445265162,54,0.05204113380338171,33,-0.6052354376597203,50,0.029134888709732742,0.11400651770722844,0.06288213847150044,0.06983299026108457,45.666666666666664,49
sad,2.8809733039849674,0.05717613925442752,48,0.0420948302459061,43,-0.6054601959393929,51,0.05015909313170842,0.09221714937926309,0.06036258559070386,0.06902301412252938,47.333333333333336,50
cognition,4.054153489309906,0.01802554932531673,45,0.024167412716236347,52,-0.6024810854561377,47,0.07128989759480374,0.05294355377000755,0.09375858066252335,0.06844509667842918,48.0,51
time,1.603623373771845,0.20238108449839237,55,0.05227541332392893,32,-0.6069813647284554,56,0.027152029132578515,0.11451975387938064,0.04331019842061589,0.06533075288890684,47.666666666666664,52
